morpheme;type;mode;sameSubject;posneg;tense;dialect;specificity;perSubject;numbSubject;perObject;numbObject;V-form;V-actions;V-action1;V-action2;t-form;t-actions;t-action1;t-action2;k-form;k-actions;k-action1;k-action2;q-form;q-actions;q-action1;q-action2;SpecificCondOnPrecMorph;sources
lusi;tv;part;oui;pos;prespas;Cumberland Peninsula;nsp;2;p;;;lusi;i(l);i(l);;tusi;n;n;;tusi;n;n;;tusi;n;n;;;H2
lutik;tv;part;oui;pos;prespas;Cumberland Peninsula;nsp;3;p;;;lutik;i(l);i(l);;tutik;n;n;;tutik;n;n;;tutik;n;n;;;H2
lunga;tv;part;oui;pos;prespas;North Baffin;sp;2;s;1;s;lunga;i(l);i(l);;&unga;n;n;;&unga;n;n;;&unga;n;n;;;?
luninga;tv;part;oui;pos;prespas;North Baffin;sp;3;s;1;s;luninga;i(l);i(l);;&uninga;n;n;;&uninga;n;n;;&uninga;n;n;;;?
lunga;tv;part;oui;pos;prespas;North Baffin;sp;4;s;1;s;lunga;i(l);i(l);;&unga;n;n;;&unga;n;n;;&unga;n;n;;;?
lutit;tv;part;oui;pos;prespas;North Baffin;sp;1;s;2;s;lutit;i(l);i(l);;&utit;n;n;;&utit;n;n;;&utit;n;n;;;?
lunitit;tv;part;oui;pos;prespas;North Baffin;sp;3;s;2;s;lunitit;i(l);i(l);;&unitit;n;n;;&unitit;n;n;;&unitit;n;n;;;?
lutit;tv;part;oui;pos;prespas;North Baffin;sp;4;s;2;s;lutit;i(l);i(l);;&utit;n;n;;&utit;n;n;;&utit;n;n;;;?
lugu;tv;part;oui;pos;prespas;North Baffin;sp;1;s;3;s;lugu;i(l);i(l);;&ugu;n;n;;&ugu;n;n;;&ugu;n;n;;;?
lugu;tv;part;oui;pos;prespas;North Baffin;sp;2;s;3;s;lugu;i(l);i(l);;&ugu;n;n;;&ugu;n;n;;&ugu;n;n;;;?
luniuk;tv;part;oui;pos;prespas;North Baffin;sp;3;s;3;s;luniuk;i(l);i(l);;&uniuk;n;n;;&uniuk;n;n;;&uniuk;n;n;;;?
lunga;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;2;s;1;s;lunga;i(l);i(l);;tunga;n;n;;tunga;n;n;;tunga;n;n;;;?
luninga;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;3;s;1;s;luninga;i(l);i(l);;tuninga;n;n;;tuninga;n;n;;tuninga;n;n;;;?
lunga;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;4;s;1;s;lunga;i(l);i(l);;tunga;n;n;;tunga;n;n;;tunga;n;n;;;?
lugu;tv;part;oui;pos;prespas;North Baffin;sp;4;s;3;s;lugu;i(l);i(l);;&ugu;n;n;;&ugu;n;n;;&ugu;n;n;;;?
lunuk;tv;part;oui;pos;prespas;North Baffin;sp;2;s;1;d;lunuk;i(l);i(l);;&unuk;n;n;;&unuk;n;n;;&unuk;n;n;;;?
lunitiguk;tv;part;oui;pos;prespas;North Baffin;sp;3;s;1;d;lunitiguk;i(l);i(l);;&unitiguk;n;n;;&unitiguk;n;n;;&unitiguk;n;n;;;?
lunuk;tv;part;oui;pos;prespas;North Baffin;sp;4;s;1;d;lunuk;i(l);i(l);;&unuk;n;n;;&unuk;n;n;;&unuk;n;n;;;?
lutik;tv;part;oui;pos;prespas;North Baffin;sp;1;s;2;d;lutik;i(l);i(l);;&utik;n;n;;&utik;n;n;;&utik;n;n;;;?
lunitik;tv;part;oui;pos;prespas;North Baffin;sp;3;s;2;d;lunitik;i(l);i(l);;&unitik;n;n;;&unitik;n;n;;&unitik;n;n;;;?
lutik;tv;part;oui;pos;prespas;North Baffin;sp;4;s;2;d;lutik;i(l);i(l);;&utik;n;n;;&utik;n;n;;&utik;n;n;;;?
lugik;tv;part;oui;pos;prespas;North Baffin;sp;1;s;3;d;lugik;i(l);i(l);;&ugik;n;n;;&ugik;n;n;;&ugik;n;n;;;?
lugik;tv;part;oui;pos;prespas;North Baffin;sp;2;s;3;d;lugik;i(l);i(l);;&ugik;n;n;;&ugik;n;n;;&ugik;n;n;;;?
lunigik;tv;part;oui;pos;prespas;North Baffin;sp;3;s;3;d;lunigik;i(l);i(l);;&unigik;n;n;;&unigik;n;n;;&unigik;n;n;;;?
lugik;tv;part;oui;pos;prespas;North Baffin;sp;4;s;3;d;lugik;i(l);i(l);;&ugik;n;n;;&ugik;n;n;;&ugik;n;n;;;?
luta;tv;part;oui;pos;prespas;North Baffin;sp;2;s;1;p;luta;i(l);i(l);;&uta;n;n;;&uta;n;n;;&uta;n;n;;;?
lunitigut;tv;part;oui;pos;prespas;North Baffin;sp;3;s;1;p;lunitigut;i(l);i(l);;&unitigut;n;n;;&unitigut;n;n;;&unitigut;n;n;;;?
luta;tv;part;oui;pos;prespas;North Baffin;sp;4;s;1;p;luta;i(l);i(l);;&uta;n;n;;&uta;n;n;;&uta;n;n;;;?
lusi;tv;part;oui;pos;prespas;North Baffin;sp;1;s;2;p;lusi;i(l);i(l);;&usi;n;n;;&usi;n;n;;&usi;n;n;;;?
lunisi;tv;part;oui;pos;prespas;North Baffin;sp;3;s;2;p;lunisi;i(l);i(l);;&unisi;n;n;;&unisi;n;n;;&unisi;n;n;;;?
lutit;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;1;s;2;s;lutit;i(l);i(l);;tutit;n;n;;tutit;n;n;;tutit;n;n;;;?
lunitit;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;3;s;2;s;lunitit;i(l);i(l);;tunitit;n;n;;tunitit;n;n;;tunitit;n;n;;;?
lutit;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;4;s;2;s;lutit;i(l);i(l);;tutit;n;n;;tutit;n;n;;tutit;n;n;;;?
lugu;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;1;s;3;s;lugu;i(l);i(l);;tugu;n;n;;tugu;n;n;;tugu;n;n;;;?
lusi;tv;part;oui;pos;prespas;North Baffin;sp;4;s;2;p;lusi;i(l);i(l);;&usi;n;n;;&usi;n;n;;&usi;n;n;;;?
lugit;tv;part;oui;pos;prespas;North Baffin;sp;1;s;3;p;lugit;i(l);i(l);;&ugit;n;n;;&ugit;n;n;;&ugit;n;n;;;?
lugit;tv;part;oui;pos;prespas;North Baffin;sp;2;s;3;p;lugit;i(l);i(l);;&ugit;n;n;;&ugit;n;n;;&ugit;n;n;;;?
lunigit;tv;part;oui;pos;prespas;North Baffin;sp;3;s;3;p;lunigit;i(l);i(l);;&unigit;n;n;;&unigit;n;n;;&unigit;n;n;;;?
lugit;tv;part;oui;pos;prespas;North Baffin;sp;4;s;3;p;lugit;i(l);i(l);;&ugit;n;n;;&ugit;n;n;;&ugit;n;n;;;?
lugu;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;2;s;3;s;lugu;i(l);i(l);;tugu;n;n;;tugu;n;n;;tugu;n;n;;;?
luniuk;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;3;s;3;s;luniuk;i(l);i(l);;tuniuk;n;n;;tuniuk;n;n;;tuniuk;n;n;;;?
lunga;tv;part;oui;pos;prespas;North Baffin;sp;2;d;1;s;lunga;i(l);i(l);;&unga;n;n;;&unga;n;n;;&unga;n;n;;;?
luninga;tv;part;oui;pos;prespas;North Baffin;sp;3;d;1;s;luninga;i(l);i(l);;&uninga;n;n;;&uninga;n;n;;&uninga;n;n;;;?
lunga;tv;part;oui;pos;prespas;North Baffin;sp;4;d;1;s;lunga;i(l);i(l);;&unga;n;n;;&unga;n;n;;&unga;n;n;;;?
lutit;tv;part;oui;pos;prespas;North Baffin;sp;1;d;2;s;lutit;i(l);i(l);;&utit;n;n;;&utit;n;n;;&utit;n;n;;;?
lunitit;tv;part;oui;pos;prespas;North Baffin;sp;3;d;2;s;lunitit;i(l);i(l);;&unitit;n;n;;&unitit;n;n;;&unitit;n;n;;;?
lugu;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;4;s;3;s;lugu;i(l);i(l);;tugu;n;n;;tugu;n;n;;tugu;n;n;;;?
lunuk;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;2;s;1;d;lunuk;i(l);i(l);;tunuk;n;n;;tunuk;n;n;;tunuk;n;n;;;?
lutit;tv;part;oui;pos;prespas;North Baffin;sp;4;d;2;s;lutit;i(l);i(l);;&utit;n;n;;&utit;n;n;;&utit;n;n;;;?
lugu;tv;part;oui;pos;prespas;North Baffin;sp;1;d;3;s;lugu;i(l);i(l);;&ugu;n;n;;&ugu;n;n;;&ugu;n;n;;;?
lugu;tv;part;oui;pos;prespas;North Baffin;sp;2;d;3;s;lugu;i(l);i(l);;&ugu;n;n;;&ugu;n;n;;&ugu;n;n;;;?
lunikku;tv;part;oui;pos;prespas;North Baffin;sp;3;d;3;s;lunikku;i(l);i(l);;&unikku;n;n;;&unikku;n;n;;&unikku;n;n;;;?
lugu;tv;part;oui;pos;prespas;North Baffin;sp;4;d;3;s;lugu;i(l);i(l);;&ugu;n;n;;&ugu;n;n;;&ugu;n;n;;;?
lunuk;tv;part;oui;pos;prespas;North Baffin;sp;2;d;1;d;lunuk;i(l);i(l);;&unuk;n;n;;&unuk;n;n;;&unuk;n;n;;;?
lunitiguk;tv;part;oui;pos;prespas;North Baffin;sp;3;d;1;d;lunitiguk;i(l);i(l);;&unitiguk;n;n;;&unitiguk;n;n;;&unitiguk;n;n;;;?
lunuk;tv;part;oui;pos;prespas;North Baffin;sp;4;d;1;d;lunuk;i(l);i(l);;&unuk;n;n;;&unuk;n;n;;&unuk;n;n;;;?
lutik;tv;part;oui;pos;prespas;North Baffin;sp;1;d;2;d;lutik;i(l);i(l);;&utik;n;n;;&utik;n;n;;&utik;n;n;;;?
lunitik;tv;part;oui;pos;prespas;North Baffin;sp;3;d;2;d;lunitik;i(l);i(l);;&unitik;n;n;;&unitik;n;n;;&unitik;n;n;;;?
lutik;tv;part;oui;pos;prespas;North Baffin;sp;4;d;2;d;lutik;i(l);i(l);;&utik;n;n;;&utik;n;n;;&utik;n;n;;;?
lugik;tv;part;oui;pos;prespas;North Baffin;sp;1;d;3;d;lugik;i(l);i(l);;&ugik;n;n;;&ugik;n;n;;&ugik;n;n;;;?
lugik;tv;part;oui;pos;prespas;North Baffin;sp;2;d;3;d;lugik;i(l);i(l);;&ugik;n;n;;&ugik;n;n;;&ugik;n;n;;;?
lunikkik;tv;part;oui;pos;prespas;North Baffin;sp;3;d;3;d;lunikkik;i(l);i(l);;&unikkik;n;n;;&unikkik;n;n;;&unikkik;n;n;;;?
lugik;tv;part;oui;pos;prespas;North Baffin;sp;4;d;3;d;lugik;i(l);i(l);;&ugik;n;n;;&ugik;n;n;;&ugik;n;n;;;?
lunitiguk;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;3;s;1;d;lunitiguk;i(l);i(l);;tunitiguk;n;n;;tunitiguk;n;n;;tunitiguk;n;n;;;?
lunuk;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;4;s;1;d;lunuk;i(l);i(l);;tunuk;n;n;;tunuk;n;n;;tunuk;n;n;;;?
lutik;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;1;s;2;d;lutik;i(l);i(l);;tutik;n;n;;tutik;n;n;;tutik;n;n;;;?
lunitik;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;3;s;2;d;lunitik;i(l);i(l);;tunitik;n;n;;tunitik;n;n;;tunitik;n;n;;;?
luta;tv;part;oui;pos;prespas;North Baffin;sp;2;d;1;p;luta;i(l);i(l);;&uta;n;n;;&uta;n;n;;&uta;n;n;;;?
lunitigut;tv;part;oui;pos;prespas;North Baffin;sp;3;d;1;p;lunitigut;i(l);i(l);;&unitigut;n;n;;&unitigut;n;n;;&unitigut;n;n;;;?
luta;tv;part;oui;pos;prespas;North Baffin;sp;4;d;1;p;luta;i(l);i(l);;&uta;n;n;;&uta;n;n;;&uta;n;n;;;?
lusi;tv;part;oui;pos;prespas;North Baffin;sp;1;d;2;p;lusi;i(l);i(l);;&usi;n;n;;&usi;n;n;;&usi;n;n;;;?
lunisi;tv;part;oui;pos;prespas;North Baffin;sp;3;d;2;p;lunisi;i(l);i(l);;&unisi;n;n;;&unisi;n;n;;&unisi;n;n;;;?
lusi;tv;part;oui;pos;prespas;North Baffin;sp;4;d;2;p;lusi;i(l);i(l);;&usi;n;n;;&usi;n;n;;&usi;n;n;;;?
lugit;tv;part;oui;pos;prespas;North Baffin;sp;1;d;3;p;lugit;i(l);i(l);;&ugit;n;n;;&ugit;n;n;;&ugit;n;n;;;?
lugit;tv;part;oui;pos;prespas;North Baffin;sp;2;d;3;p;lugit;i(l);i(l);;&ugit;n;n;;&ugit;n;n;;&ugit;n;n;;;?
lunikkit;tv;part;oui;pos;prespas;North Baffin;sp;3;d;3;p;lunikkit;i(l);i(l);;&unikkit;n;n;;&unikkit;n;n;;&unikkit;n;n;;;?
lugit;tv;part;oui;pos;prespas;North Baffin;sp;4;d;3;p;lugit;i(l);i(l);;&ugit;n;n;;&ugit;n;n;;&ugit;n;n;;;?
lunga;tv;part;oui;pos;prespas;North Baffin;sp;2;p;1;s;lunga;i(l);i(l);;&unga;n;n;;&unga;n;n;;&unga;n;n;;;?
luninga;tv;part;oui;pos;prespas;North Baffin;sp;3;p;1;s;luninga;i(l);i(l);;&uninga;n;n;;&uninga;n;n;;&uninga;n;n;;;?
lunga;tv;part;oui;pos;prespas;North Baffin;sp;4;p;1;s;lunga;i(l);i(l);;&unga;n;n;;&unga;n;n;;&unga;n;n;;;?
lutit;tv;part;oui;pos;prespas;North Baffin;sp;1;p;2;s;lutit;i(l);i(l);;&utit;n;n;;&utit;n;n;;&utit;n;n;;;?
lunitit;tv;part;oui;pos;prespas;North Baffin;sp;3;p;2;s;lunitit;i(l);i(l);;&unitit;n;n;;&unitit;n;n;;&unitit;n;n;;;?
lutit;tv;part;oui;pos;prespas;North Baffin;sp;4;p;2;s;lutit;i(l);i(l);;&utit;n;n;;&utit;n;n;;&utit;n;n;;;?
lutik;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;4;s;2;d;lutik;i(l);i(l);;tutik;n;n;;tutik;n;n;;tutik;n;n;;;?
lugik;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;1;s;3;d;lugik;i(l);i(l);;tugik;n;n;;tugik;n;n;;tugik;n;n;;;?
lugik;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;2;s;3;d;lugik;i(l);i(l);;tugik;n;n;;tugik;n;n;;tugik;n;n;;;?
lunigik;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;3;s;3;d;lunigik;i(l);i(l);;tunigik;n;n;;tunigik;n;n;;tunigik;n;n;;;?
lugu;tv;part;oui;pos;prespas;North Baffin;sp;1;p;3;s;lugu;i(l);i(l);;&ugu;n;n;;&ugu;n;n;;&ugu;n;n;;;?
lugu;tv;part;oui;pos;prespas;North Baffin;sp;2;p;3;s;lugu;i(l);i(l);;&ugu;n;n;;&ugu;n;n;;&ugu;n;n;;;?
lunijjuk;tv;part;oui;pos;prespas;North Baffin;sp;3;p;3;s;lunijjuk;i(l);i(l);;&unijjuk;n;n;;&unijjuk;n;n;;&unijjuk;n;n;;;?
lugu;tv;part;oui;pos;prespas;North Baffin;sp;4;p;3;s;lugu;i(l);i(l);;&ugu;n;n;;&ugu;n;n;;&ugu;n;n;;;?
lunuk;tv;part;oui;pos;prespas;North Baffin;sp;2;p;1;d;lunuk;i(l);i(l);;&unuk;n;n;;&unuk;n;n;;&unuk;n;n;;;?
lunitiguk;tv;part;oui;pos;prespas;North Baffin;sp;3;p;1;d;lunitiguk;i(l);i(l);;&unitiguk;n;n;;&unitiguk;n;n;;&unitiguk;n;n;;;?
lunuk;tv;part;oui;pos;prespas;North Baffin;sp;4;p;1;d;lunuk;i(l);i(l);;&unuk;n;n;;&unuk;n;n;;&unuk;n;n;;;?
lutik;tv;part;oui;pos;prespas;North Baffin;sp;1;p;2;d;lutik;i(l);i(l);;&utik;n;n;;&utik;n;n;;&utik;n;n;;;?
lunitik;tv;part;oui;pos;prespas;North Baffin;sp;3;p;2;d;lunitik;i(l);i(l);;&unitik;n;n;;&unitik;n;n;;&unitik;n;n;;;?
lutik;tv;part;oui;pos;prespas;North Baffin;sp;4;p;2;d;lutik;i(l);i(l);;&utik;n;n;;&utik;n;n;;&utik;n;n;;;?
lugik;tv;part;oui;pos;prespas;North Baffin;sp;1;p;3;d;lugik;i(l);i(l);;&ugik;n;n;;&ugik;n;n;;&ugik;n;n;;;?
lugik;tv;part;oui;pos;prespas;North Baffin;sp;2;p;3;d;lugik;i(l);i(l);;&ugik;n;n;;&ugik;n;n;;&ugik;n;n;;;?
lunigik;tv;part;oui;pos;prespas;North Baffin;sp;3;p;3;d;lunigik;i(l);i(l);;&unigik;n;n;;&unigik;n;n;;&unigik;n;n;;;?
lugik;tv;part;oui;pos;prespas;North Baffin;sp;4;p;3;d;lugik;i(l);i(l);;&ugik;n;n;;&ugik;n;n;;&ugik;n;n;;;?
luta;tv;part;oui;pos;prespas;North Baffin;sp;2;p;1;p;luta;i(l);i(l);;&uta;n;n;;&uta;n;n;;&uta;n;n;;;?
lunitigut;tv;part;oui;pos;prespas;North Baffin;sp;3;p;1;p;lunitigut;i(l);i(l);;&unitigut;n;n;;&unitigut;n;n;;&unitigut;n;n;;;?
lugik;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;4;s;3;d;lugik;i(l);i(l);;tugik;n;n;;tugik;n;n;;tugik;n;n;;;?
luta;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;2;s;1;p;luta;i(l);i(l);;tuta;n;n;;tuta;n;n;;tuta;n;n;;;?
lunitigut;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;3;s;1;p;lunitigut;i(l);i(l);;tunitigut;n;n;;tunitigut;n;n;;tunitigut;n;n;;;?
luta;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;4;s;1;p;luta;i(l);i(l);;tuta;n;n;;tuta;n;n;;tuta;n;n;;;?
luta;tv;part;oui;pos;prespas;North Baffin;sp;4;p;1;p;luta;i(l);i(l);;&uta;n;n;;&uta;n;n;;&uta;n;n;;;?
lusi;tv;part;oui;pos;prespas;North Baffin;sp;1;p;2;p;lusi;i(l);i(l);;&usi;n;n;;&usi;n;n;;&usi;n;n;;;?
lunisi;tv;part;oui;pos;prespas;North Baffin;sp;3;p;2;p;lunisi;i(l);i(l);;&unisi;n;n;;&unisi;n;n;;&unisi;n;n;;;?
lusi;tv;part;oui;pos;prespas;North Baffin;sp;4;p;2;p;lusi;i(l);i(l);;&usi;n;n;;&usi;n;n;;&usi;n;n;;;?
lugit;tv;part;oui;pos;prespas;North Baffin;sp;1;p;3;p;lugit;i(l);i(l);;&ugit;n;n;;&ugit;n;n;;&ugit;n;n;;;?
lugit;tv;part;oui;pos;prespas;North Baffin;sp;2;p;3;p;lugit;i(l);i(l);;&ugit;n;n;;&ugit;n;n;;&ugit;n;n;;;?
lunigit;tv;part;oui;pos;prespas;North Baffin;sp;3;p;3;p;lunigit;i(l);i(l);;&unigit;n;n;;&unigit;n;n;;&unigit;n;n;;;?
lugit;tv;part;oui;pos;prespas;North Baffin;sp;4;p;3;p;lugit;i(l);i(l);;&ugit;n;n;;&ugit;n;n;;&ugit;n;n;;;?
lunga;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;2;s;1;s;lunga;n;n;;lunga;son;son;;lunga;son;son;;lunga;son;son;;;?
luninga;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;3;s;1;s;luninga;n;n;;luninga;son;son;;luninga;son;son;;luninga;son;son;;;?
lunga;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;4;s;1;s;lunga;n;n;;lunga;son;son;;lunga;son;son;;lunga;son;son;;;?
lutit;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;1;s;2;s;lutit;n;n;;lutit;son;son;;lutit;son;son;;lutit;son;son;;;?
lunitit;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;3;s;2;s;lunitit;n;n;;lunitit;son;son;;lunitit;son;son;;lunitit;son;son;;;?
lutit;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;4;s;2;s;lutit;n;n;;lutit;son;son;;lutit;son;son;;lutit;son;son;;;?
lugu;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;1;s;3;s;lugu;n;n;;lugu;son;son;;lugu;son;son;;lugu;son;son;;;?
lugu;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;2;s;3;s;lugu;n;n;;lugu;son;son;;lugu;son;son;;lugu;son;son;;;?
lusi;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;1;s;2;p;lusi;i(l);i(l);;tusi;n;n;;tusi;n;n;;tusi;n;n;;;?
lunisi;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;3;s;2;p;lunisi;i(l);i(l);;tunisi;n;n;;tunisi;n;n;;tunisi;n;n;;;?
lusi;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;4;s;2;p;lusi;i(l);i(l);;tusi;n;n;;tusi;n;n;;tusi;n;n;;;?
lugit;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;1;s;3;p;lugit;i(l);i(l);;tugit;n;n;;tugit;n;n;;tugit;n;n;;;?
luniuk;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;3;s;3;s;luniuk;n;n;;luniuk;son;son;;luniuk;son;son;;luniuk;son;son;;;?
lugu;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;4;s;3;s;lugu;n;n;;lugu;son;son;;lugu;son;son;;lugu;son;son;;;?
lunuk;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;2;s;1;d;lunuk;n;n;;lunuk;son;son;;lunuk;son;son;;lunuk;son;son;;;?
lunitiguk;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;3;s;1;d;lunitiguk;n;n;;lunitiguk;son;son;;lunitiguk;son;son;;lunitiguk;son;son;;;?
lunuk;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;4;s;1;d;lunuk;n;n;;lunuk;son;son;;lunuk;son;son;;lunuk;son;son;;;?
lutik;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;1;s;2;d;lutik;n;n;;lutik;son;son;;lutik;son;son;;lutik;son;son;;;?
lunitik;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;3;s;2;d;lunitik;n;n;;lunitik;son;son;;lunitik;son;son;;lunitik;son;son;;;?
lutik;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;4;s;2;d;lutik;n;n;;lutik;son;son;;lutik;son;son;;lutik;son;son;;;?
lugik;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;1;s;3;d;lugik;n;n;;lugik;son;son;;lugik;son;son;;lugik;son;son;;;?
lugik;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;2;s;3;d;lugik;n;n;;lugik;son;son;;lugik;son;son;;lugik;son;son;;;?
lunigik;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;3;s;3;d;lunigik;n;n;;lunigik;son;son;;lunigik;son;son;;lunigik;son;son;;;?
lugik;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;4;s;3;d;lugik;n;n;;lugik;son;son;;lugik;son;son;;lugik;son;son;;;?
luta;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;2;s;1;p;luta;n;n;;luta;son;son;;luta;son;son;;luta;son;son;;;?
lunitigut;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;3;s;1;p;lunitigut;n;n;;lunitigut;son;son;;lunitigut;son;son;;lunitigut;son;son;;;?
luta;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;4;s;1;p;luta;n;n;;luta;son;son;;luta;son;son;;luta;son;son;;;?
lusi;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;1;s;2;p;lusi;n;n;;lusi;son;son;;lusi;son;son;;lusi;son;son;;;?
lugit;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;2;s;3;p;lugit;i(l);i(l);;tugit;n;n;;tugit;n;n;;tugit;n;n;;;?
lunigit;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;3;s;3;p;lunigit;i(l);i(l);;tunigit;n;n;;tunigit;n;n;;tunigit;n;n;;;?
lugit;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;4;s;3;p;lugit;i(l);i(l);;tugit;n;n;;tugit;n;n;;tugit;n;n;;;?
lunga;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;2;d;1;s;lunga;i(l);i(l);;tunga;n;n;;tunga;n;n;;tunga;n;n;;;?
luninga;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;3;d;1;s;luninga;i(l);i(l);;tuninga;n;n;;tuninga;n;n;;tuninga;n;n;;;?
lunisi;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;3;s;2;p;lunisi;n;n;;lunisi;son;son;;lunisi;son;son;;lunisi;son;son;;;?
lusi;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;4;s;2;p;lusi;n;n;;lusi;son;son;;lusi;son;son;;lusi;son;son;;;?
lugit;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;1;s;3;p;lugit;n;n;;lugit;son;son;;lugit;son;son;;lugit;son;son;;;?
lugit;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;2;s;3;p;lugit;n;n;;lugit;son;son;;lugit;son;son;;lugit;son;son;;;?
lunigit;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;3;s;3;p;lunigit;n;n;;lunigit;son;son;;lunigit;son;son;;lunigit;son;son;;;?
lugit;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;4;s;3;p;lugit;n;n;;lugit;son;son;;lugit;son;son;;lugit;son;son;;;?
lunga;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;2;d;1;s;lunga;n;n;;lunga;son;son;;lunga;son;son;;lunga;son;son;;;?
luninga;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;3;d;1;s;luninga;n;n;;luninga;son;son;;luninga;son;son;;luninga;son;son;;;?
lunga;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;4;d;1;s;lunga;n;n;;lunga;son;son;;lunga;son;son;;lunga;son;son;;;?
lutit;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;1;d;2;s;lutit;n;n;;lutit;son;son;;lutit;son;son;;lutit;son;son;;;?
lunitit;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;3;d;2;s;lunitit;n;n;;lunitit;son;son;;lunitit;son;son;;lunitit;son;son;;;?
lutit;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;4;d;2;s;lutit;n;n;;lutit;son;son;;lutit;son;son;;lutit;son;son;;;?
lugu;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;1;d;3;s;lugu;n;n;;lugu;son;son;;lugu;son;son;;lugu;son;son;;;?
lugu;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;2;d;3;s;lugu;n;n;;lugu;son;son;;lugu;son;son;;lugu;son;son;;;?
lunikku;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;3;d;3;s;lunikku;n;n;;lunikku;son;son;;lunikku;son;son;;lunikku;son;son;;;?
lugu;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;4;d;3;s;lugu;n;n;;lugu;son;son;;lugu;son;son;;lugu;son;son;;;?
