morpheme;type;mode;specificity;perSubject;numbSubject;perObject;numbObject;V-form;V-actions;V-action1;V-action2;t-form;t-actions;t-action1;t-action2;k-form;k-actions;k-action1;k-action2;q-form;q-actions;q-action1;q-action2;SpecificCondOnPrecMorph;sources
paatigut;tv;cond;sp;4;s;1;p;paatigut;i(k);i(k);;paatigut;a;a;;paatigut;n;n;;paatigut;n;n;;;?
gussi;tv;cond;sp;1;s;2;p;gussi gupsi gutsi;n n n;n;;kussi kupsi kutsi;a a a;a;;kussi kupsi kutsi;n n n;n;;russi rupsi rutsi;s s s;fus;;;?
gunisi;tv;cond;sp;3;s;2;p;gunisi;n;n;;kunisi;a;a;;kunisi;n;n;;runisi;s;fus;;;?
paasi;tv;cond;sp;4;s;2;p;paasi;i(k);i(k);;paasi;a;a;;paasi;n;n;;paasi;n;n;;;?
gupkit;tv;cond;sp;1;s;3;p;gupkit;n;n;;kupkit;a;a;;kupkit;n;n;;rupkit;s;fus;;;?
guvigit;tv;cond;sp;2;s;3;p;guvigit gungni;n n;n;;kuvigit kungni;a a;a;;kuvigit kungni;n n;n;;ruvigit rungni;s s;fus;;;?
gunigit;tv;cond;sp;3;s;3;p;gunigit;n;n;;kunigit;a;a;;kunigit;n;n;;runigit;s;fus;;;?
pagit;tv;cond;sp;4;s;3;p;pagit;i(k);i(k);;pagit;a;a;;pagit;n;n;;pagit;n;n;;;?
guttinga;tv;cond;sp;2;d;1;s;guttinga;n;n;;kuttinga;a;a;;kuttinga;n;n;;ruttinga;s;fus;;;?
guninga;tv;cond;sp;3;d;1;s;guninga;n;n;;kuninga;a;a;;kuninga;n;n;;runinga;s;fus;;;?
paanga;tv;cond;sp;4;d;1;s;paanga;i(k);i(k);;paanga;a;a;;paanga;n;n;;paanga;n;n;;;?
guptigit;tv;cond;sp;1;d;2;s;guptigit;n;n;;kuptigit;a;a;;kuptigit;n;n;;ruptigit;s;fus;;;?
gunitit;tv;cond;sp;3;d;2;s;gunitit;n;n;;kunitit;a;a;;kunitit;n;n;;runitit;s;fus;;;?
paatit;tv;cond;sp;4;d;2;s;paatit;i(k);i(k);;paatit;a;a;;paatit;n;n;;paatit;n;n;;;?
guptigu;tv;cond;sp;1;d;3;s;guptigu;n;n;;kuptigu;a;a;;kuptigu;n;n;;ruptigu;s;fus;;;?
guttiku;tv;cond;sp;2;d;3;s;guttiku;n;n;;kuttiku;a;a;;kuttiku;n;n;;ruttiku;s;fus;;;?
gunikku;tv;cond;sp;3;d;3;s;gunikku;n;n;;kunikku;a;a;;kunikku;n;n;;runikku;s;fus;;;?
pakku;tv;cond;sp;4;d;3;s;pakku;i(k);i(k);;pakku;a;a;;pakku;n;n;;pakku;n;n;;;?
guttiguk;tv;cond;sp;2;d;1;d;guttiguk;n;n;;kuttiguk;a;a;;kuttiguk;n;n;;ruttiguk;s;fus;;;?
gunitiguk;tv;cond;sp;3;d;1;d;gunitiguk;n;n;;kunitiguk;a;a;;kunitiguk;n;n;;runitiguk;s;fus;;;?
paatiguk;tv;cond;sp;4;d;1;d;paatiguk;i(k);i(k);;paatiguk;a;a;;paatiguk;n;n;;paatiguk;n;n;;;?
gussik;tv;cond;sp;1;d;2;d;gussik guttik;n n;n;;kussik kuttik;a a;a;;kussik kuttik;n n;n;;russik ruttik;s s;fus;;;?
gunitik;tv;cond;sp;3;d;2;d;gunitik;n;n;;kunitik;a;a;;kunitik;n;n;;runitik;s;fus;;;?
paatik;tv;cond;sp;4;d;2;d;paatik;i(k);i(k);;paatik;a;a;;paatik;n;n;;paatik;n;n;;;?
guptigik;tv;cond;sp;1;d;3;d;guptigik;n;n;;kuptigik;a;a;;kuptigik;n;n;;ruptigik;s;fus;;;?
guttikik;tv;cond;sp;2;d;3;d;guttikik;n;n;;kuttikik;a;a;;kuttikik;n;n;;ruttikik;s;fus;;;?
gunikkik;tv;cond;sp;3;d;3;d;gunikkik;n;n;;kunikkik;a;a;;kunikkik;n;n;;runikkik;s;fus;;;?
pakkik;tv;cond;sp;4;d;3;d;pakkik;i(k);i(k);;pakkik;a;a;;pakkik;n;n;;pakkik;n;n;;;?
guttigut;tv;cond;sp;2;d;1;p;guttigut;n;n;;kuttigut;a;a;;kuttigut;n;n;;ruttigut;s;fus;;;?
gunitigut;tv;cond;sp;3;d;1;p;gunitigut;n;n;;kunitigut;a;a;;kunitigut;n;n;;runitigut;s;fus;;;?
paatigut;tv;cond;sp;4;d;1;p;paatigut;i(k);i(k);;paatigut;a;a;;paatigut;n;n;;paatigut;n;n;;;?
gussi;tv;cond;sp;1;d;2;p;gussi gupsi gutsi;n n n;n;;kussi kupsi kutsi;a a a;a;;kussi kupsi kutsi;n n n;n;;russi rupsi rutsi;s s s;fus;;;?
gunisi;tv;cond;sp;3;d;2;p;gunisi;n;n;;kunisi;a;a;;kunisi;n;n;;runisi;s;fus;;;?
paasi;tv;cond;sp;4;d;2;p;paasi;i(k);i(k);;paasi;a;a;;paasi;n;n;;paasi;n;n;;;?
guptigit;tv;cond;sp;1;d;3;p;guptigit;n;n;;kuptigit;a;a;;kuptigit;n;n;;ruptigit;s;fus;;;?
guttikit;tv;cond;sp;2;d;3;p;guttikit;n;n;;kuttikit;a;a;;kuttikit;n;n;;ruttikit;s;fus;;;?
gunikkit;tv;cond;sp;3;d;3;p;gunikkit;n;n;;kunikkit;a;a;;kunikkit;n;n;;runikkit;s;fus;;;?
pakkit;tv;cond;sp;4;d;3;p;pakkit;i(k);i(k);;pakkit;a;a;;pakkit;n;n;;pakkit;n;n;;;?
gupsinga;tv;cond;sp;2;p;1;s;gupsinga;n;n;;kupsinga;a;a;;kupsinga;n;n;;rupsinga;s;fus;;;?
guninga;tv;cond;sp;3;p;1;s;guninga;n;n;;kuninga;a;a;;kuninga;n;n;;runinga;s;fus;;;?
paanga;tv;cond;sp;4;p;1;s;paanga;i(k);i(k);;paanga;a;a;;paanga;n;n;;paanga;n;n;;;?
guptigit;tv;cond;sp;1;p;2;s;guptigit;n;n;;kuptigit;a;a;;kuptigit;n;n;;ruptigit;s;fus;;;?
gunitit;tv;cond;sp;3;p;2;s;gunitit;n;n;;kunitit;a;a;;kunitit;n;n;;runitit;s;fus;;;?
paatit;tv;cond;sp;4;p;2;s;paatit;i(k);i(k);;paatit;a;a;;paatit;n;n;;paatit;n;n;;;?
guptigu;tv;cond;sp;1;p;3;s;guptigu;n;n;;kuptigu;a;a;;kuptigu;n;n;;ruptigu;s;fus;;;?
gupsiuk;tv;cond;sp;2;p;3;s;gupsiuk;n;n;;kupsiuk;a;a;;kupsiuk;n;n;;rupsiuk;s;fus;;;?
gunijjuk;tv;cond;sp;3;p;3;s;gunijjuk guniku;n n;n;;kunijjuk kuniku;a a;a;;kunijjuk kuniku;n n;n;;runijjuk runiku;s s;fus;;;?
pajjuk;tv;cond;sp;4;p;3;s;pajjuk;i(k);i(k);;pajjuk;a;a;;pajjuk;n;n;;pajjuk;n;n;;;?
guptiguk;tv;cond;sp;2;p;1;d;guptiguk;n;n;;kuptiguk;a;a;;kuptiguk;n;n;;ruptiguk;s;fus;;;?
gunitiguk;tv;cond;sp;3;p;1;d;gunitiguk;n;n;;kunitiguk;a;a;;kunitiguk;n;n;;runitiguk;s;fus;;;?
paatiguk;tv;cond;sp;4;p;1;d;paatiguk;i(k);i(k);;paatiguk;a;a;;paatiguk;n;n;;paatiguk;n;n;;;?
gussik;tv;cond;sp;1;p;2;d;gussik guttik;n n;n;;kussik kuttik;a a;a;;kussik kuttik;n n;n;;russik ruttik;s s;fus;;;?
gunitik;tv;cond;sp;3;p;2;d;gunitik;n;n;;kunitik;a;a;;kunitik;n;n;;runitik;s;fus;;;?
paatik;tv;cond;sp;4;p;2;d;paatik;i(k);i(k);;paatik;a;a;;paatik;n;n;;paatik;n;n;;;?
guptigik;tv;cond;sp;1;p;3;d;guptigik;n;n;;kuptigik;a;a;;kuptigik;n;n;;ruptigik;s;fus;;;?
gupsigik;tv;cond;sp;2;p;3;d;gupsigik;n;n;;kupsigik;a;a;;kupsigik;n;n;;rupsigik;s;fus;;;?
gunigik;tv;cond;sp;3;p;3;d;gunigik;n;n;;kunigik;a;a;;kunigik;n;n;;runigik;s;fus;;;?
pagik;tv;cond;sp;4;p;3;d;pagik;i(k);i(k);;pagik;a;a;;pagik;n;n;;pagik;n;n;;;?
guttigut;tv;cond;sp;2;p;1;p;guttigut guptigut gupsigut;n n n;n;;kuttigut kuptigut kupsigut;a a a;a;;kuttigut kuptigut kupsigut;n n n;n;;ruttigut ruptigut rupsigut;s s s;fus;;;?
gunitigut;tv;cond;sp;3;p;1;p;gunitigut;n;n;;kunitigut;a;a;;kunitigut;n;n;;runitigut;s;fus;;;?
paatigut;tv;cond;sp;4;p;1;p;paatigut;i(k);i(k);;paatigut;a;a;;paatigut;n;n;;paatigut;n;n;;;?
gussi;tv;cond;sp;1;p;2;p;gussi gupsi gutsi;n n n;n;;kussi kupsi kutsi;a a a;a;;kussi kupsi kutsi;n n n;n;;russi rupsi rutsi;s s s;fus;;;?
gunisi;tv;cond;sp;3;p;2;p;gunisi;n;n;;kunisi;a;a;;kunisi;n;n;;runisi;s;fus;;;?
paasi;tv;cond;sp;4;p;2;p;paasi;i(k);i(k);;paasi;a;a;;paasi;n;n;;paasi;n;n;;;?
guptigit;tv;cond;sp;1;p;3;p;guptigit;n;n;;kuptigit;a;a;;kuptigit;n;n;;ruptigit;s;fus;;;?
gupsigit;tv;cond;sp;2;p;3;p;gupsigit;n;n;;kupsigit;a;a;;kupsigit;n;n;;rupsigit;s;fus;;;?
gunigit;tv;cond;sp;3;p;3;p;gunigit;n;n;;kunigit;a;a;;kunigit;n;n;;runigit;s;fus;;;?
pagit;tv;cond;sp;4;p;3;p;pagit;i(k);i(k);;pagit;a;a;;pagit;n;n;;pagit;n;n;;;?
jarma;tv;ger;sp;2;s;1;s;jarma;n;n;;tarma;n;n;;tarma;n;n;;tarma;n;n;;;?
jaanga;tv;ger;sp;3;s;1;s;jaanga;n;n;;taanga;n;n;;taanga;n;n;;taanga;n;n;;;?
jagit;tv;ger;sp;1;s;2;s;jagit;n;n;;tagit;n;n;;tagit;n;n;;tagit;n;n;;;?
jaatit;tv;ger;sp;3;s;2;s;jaatit;n;n;;taatit;n;n;;taatit;n;n;;taatit;n;n;;;?
jara;tv;ger;sp;1;s;3;s;jara;n;n;;tara;n;n;;tara;n;n;;tara;n;n;;;?
jait;tv;ger;sp;2;s;3;s;jait;n;n;;tait;n;n;;tait;n;n;;tait;n;n;;;?
janga;tv;ger;sp;3;s;3;s;janga jaa;n n;n;;tanga taa;n n;n;;tanga taa;n n;n;;tanga taa;n n;n;;;?
jattiguk;tv;ger;sp;2;s;1;d;jattiguk jattikkuk;n n;n;;tattiguk tattikkuk;n n;n;;tattiguk tattikkuk;n n;n;;tattiguk tattikkuk;n n;n;;;?
jaatiguk;tv;ger;sp;3;s;1;d;jaatiguk jaatikkuk;n n;n;;taatiguk taatikkuk;n n;n;;taatiguk taatikkuk;n n;n;;taatiguk taatikkuk;n n;n;;;?
jassik;tv;ger;sp;1;s;2;d;jassik;n;n;;tassik;n;n;;tassik;n;n;;tassik;n;n;;;?
jaasik;tv;ger;sp;3;s;2;d;jaasik jaatik;n n;n;;taasik taatik;n n;n;;taasik taatik;n n;n;;taasik taatik;n n;n;;;?
jaakka;tv;ger;sp;1;s;3;d;jaakka;n;n;;taakka;n;n;;taakka;n;n;;taakka;n;n;;;?
jaakkik;tv;ger;sp;2;s;3;d;jaakkik;n;n;;taakkik;n;n;;taakkik;n;n;;taakkik;n;n;;;?
jaangik;tv;ger;sp;3;s;3;d;jaangik;n;n;;taangik;n;n;;taangik;n;n;;taangik;n;n;;;?
japtigut;tv;ger;sp;2;s;1;p;japtigut;n;n;;taptigut;n;n;;taptigut;n;n;;taptigut;n;n;;;?
jaatigut;tv;ger;sp;3;s;1;p;jaatigut;n;n;;taatigut;n;n;;taatigut;n;n;;taatigut;n;n;;;?
jassi;tv;ger;sp;1;s;2;p;jassi;n;n;;tassi;n;n;;tassi;n;n;;tassi;n;n;;;?
jaasi;tv;ger;sp;3;s;2;p;jaasi;n;n;;taasi;n;n;;taasi;n;n;;taasi;n;n;;;?
jakka;tv;ger;sp;1;s;3;p;jakka;n;n;;takka;n;n;;takka;n;n;;takka;n;n;;;?
jatit;tv;ger;sp;2;s;3;p;jatit;n;n;;tatit;n;n;;tatit;n;n;;tatit;n;n;;;?
jangit;tv;ger;sp;3;s;3;p;jangit jait;n n;n;;tangit pait;n n;n;;tangit tait;n n;n;;tangit tait;n n;n;;;?
jaattinga;tv;ger;sp;2;d;1;s;jaattinga;n;n;;taattinga;n;n;;taattinga;n;n;;taattinga;n;n;;;?
jaanga;tv;ger;sp;3;d;1;s;jaanga;n;n;;taanga;n;n;;taanga;n;n;;taanga;n;n;;;?
jattigik;tv;ger;sp;1;d;2;s;jattigik;n;n;;tattigik;n;n;;tattigik;n;n;;tattigik;n;n;;;?
jaatit;tv;ger;sp;3;d;2;s;jaatit;n;n;;taatit;n;n;;taatit;n;n;;taatit;n;n;;;?
javuk;tv;ger;sp;1;d;3;s;javuk;n;n;;tavuk;n;n;;tavuk;n;n;;tavuk;n;n;;;?
jasik;tv;ger;sp;2;d;3;s;jasik jatik;n n;n;;tasik tatik;n n;n;;tasik tatik;n n;n;;tasik tatik;n n;n;;;?
jangak;tv;ger;sp;3;d;3;s;jangak;n;n;;tangak;n;n;;tangak;n;n;;tangak;n;n;;;?
jaattiguk;tv;ger;sp;2;d;1;d;jaattiguk;n;n;;taattiguk;n;n;;taattiguk;n;n;;taattiguk;n;n;;;?
jaatiguk;tv;ger;sp;3;d;1;d;jaatiguk;n;n;;taatiguk;n;n;;taatiguk;n;n;;taatiguk;n;n;;;?
jassik;tv;ger;sp;1;d;2;d;jassik;n;n;;tassik;n;n;;tassik;n;n;;tassik;n;n;;;?
jaatik;tv;ger;sp;3;d;2;d;jaatik;n;n;;taatik;n;n;;taatik;n;n;;taatik;n;n;;;?
jaavuk;tv;ger;sp;1;d;3;d;jaavuk;n;n;;taavuk;n;n;;taavuk;n;n;;taavuk;n;n;;;?
jaassik;tv;ger;sp;2;d;3;d;jaassik jaattik;n n;n;;taassik taattik;n n;n;;taassik taattik;n n;n;;taassik taattik;n n;n;;;?
jaangik;tv;ger;sp;3;d;3;d;jaangik;n;n;;taangik;n;n;;taangik;n;n;;paangik;n;n;;;?
jaattigut;tv;ger;sp;2;d;1;p;jaattigut;n;n;;taattigut;n;n;;taattigut;n;n;;taattigut;n;n;;;?
jaatigut;tv;ger;sp;3;d;1;p;jaatigut;n;n;;taatigut;n;n;;taatigut;n;n;;taatigut;n;n;;;?
jassi;tv;ger;sp;1;d;2;p;jassi;n;n;;tassi;n;n;;tassi;n;n;;tassi;n;n;;;?
jaasi;tv;ger;sp;3;d;2;p;jaasi;n;n;;taasi;n;n;;taasi;n;n;;taasi;n;n;;;?
javuk;tv;ger;sp;1;d;3;p;javuk;n;n;;tavuk;n;n;;tavuk;n;n;;tavuk;n;n;;;?
jasik;tv;ger;sp;2;d;3;p;jasik jatik;n n;n;;tasik tatik;n n;n;;tasik tatik;n n;n;;tasik tatik;n n;n;;;?
jangik;tv;ger;sp;3;d;3;p;jangik;n;n;;tangik;n;n;;tangik;n;n;;tangik;n;n;;;?
jassinga;tv;ger;sp;2;p;1;s;jassinga japsinga jatsinga;n n n;n;;tassinga tapsinga tatsinga;n n n;n;;tassinga tapsinga tatsinga;n n n;n;;tassinga tapsinga tatsinga;n n n;n;;;?
jaanga;tv;ger;sp;3;p;1;s;jaanga;n;n;;taanga;n;n;;taanga;n;n;;taanga;n;n;;;?
japtigit;tv;ger;sp;1;p;2;s;japtigit;n;n;;taptigit;n;n;;taptigit;n;n;;taptigit;n;n;;;?
jaatit;tv;ger;sp;3;p;2;s;jaatit;n;n;;taatit;n;n;;taatit;n;n;;taatit;n;n;;;?
javut;tv;ger;sp;1;p;3;s;javut;n;n;;tavut;n;n;;tavut;n;n;;tavut;n;n;;;?
jasi;tv;ger;sp;2;p;3;s;jasi;n;n;;tasi;n;n;;tasi;n;n;;tasi;n;n;;;?
jangat;tv;ger;sp;3;p;3;s;jangat jaat;n n;n;;tangat taat;n n;n;;tangat taat;n n;n;;tangat taat;n n;n;;;?
jattiguk;tv;ger;sp;2;p;1;d;jattiguk;n;n;;tattiguk;n;n;;tattiguk;n;n;;tattiguk;n;n;;;?
jaatiguk;tv;ger;sp;3;p;1;d;jaatiguk;n;n;;taatiguk;n;n;;taatiguk;n;n;;taatiguk;n;n;;;?
jassik;tv;ger;sp;1;p;2;d;jassik;n;n;;tassik;n;n;;tassik;n;n;;tassik;n;n;;;?
jaasik;tv;ger;sp;3;p;2;d;jaasik jaatik;n n;n;;taasik taatik;n n;n;;taasik taatik;n n;n;;taasik taatik;n n;n;;;?
jaavut;tv;ger;sp;1;p;3;d;jaavut;n;n;;taavut;n;n;;taavut;n;n;;taavut;n;n;;;?
jaassi;tv;ger;sp;2;p;3;d;jaassi;n;n;;taassi;n;n;;taassi;n;n;;taassi;n;n;;;?
jaangik;tv;ger;sp;3;p;3;d;jaangik;n;n;;taangik;n;n;;taangik;n;n;;taangik;n;n;;;?
japtigut;tv;ger;sp;2;p;1;p;japtigut;n;n;;taptigut;n;n;;taptigut;n;n;;taptigut;n;n;;;?
jaatigut;tv;ger;sp;3;p;1;p;jaatigut;n;n;;taatigut;n;n;;taatigut;n;n;;taatigut;n;n;;;?
japsi;tv;ger;sp;1;p;2;p;japsi;n;n;;tapsi;n;n;;tapsi;n;n;;tapsi;n;n;;;?
jaasi;tv;ger;sp;3;p;2;p;jaasi;n;n;;taasi;n;n;;taasi;n;n;;taasi;n;n;;;?
javut;tv;ger;sp;1;p;3;p;javut;n;n;;tavut;n;n;;tavut;n;n;;tavut;n;n;;;?
jasi;tv;ger;sp;2;p;3;p;jasi;n;n;;tasi;n;n;;tasi;n;n;;tasi;n;n;;;?
jangit;tv;ger;sp;3;p;3;p;jangit jait;n n;n;;tangit tait;n n;n;;tangit tait;n n;n;;tangit tait;n n;n;;;?
jaraangama;tv;freq;nsp;1;s;;;jaraangama;n;n;;taraangama saarangama;n n;n;;kaangama gaangama;n s;n;;raangama;s;fus;;;?
jaraangavit;tv;freq;nsp;2;s;;;jaraangavit;n;n;;taraangavit saraangavit;n n;n;;kaangavit gaangavit;n s;n;;raangavit;s;fus;;;?
jaraangami;tv;freq;nsp;3;s;;;jaraangami;n;n;;taraangami saraangami;n n;n;;kaangami gaangami;n s;n;;raangami;s;fus;;;?
jaraangat;tv;freq;nsp;4;s;;;jaraangat;n;n;;taraangat saraangat;n n;n;;kaangat gaangat;n s;n;;raangat;s;fus;;;?
jaraangannuk;tv;freq;nsp;1;d;;;jaraangannuk;n;n;;taraangannuk saraangannuk;n n;n;;kaangannuk gaangannuk;n s;n;;raangannuk;s;fus;;;?
jaraangassik;tv;freq;nsp;2;d;;;jaraangassik;n;n;;taraangassik saraangassik;n n;n;;kaangassik gaangassik;n s;n;;raangassik;s;fus;;;?
jaraangamik;tv;freq;nsp;3;d;;;jaraangamik;n;n;;taraangamik saraangamik;n n;n;;kaangamik gaangamik;n s;n;;raangamik;s;fus;;;?
jaraangatik;tv;freq;nsp;4;d;;;jaraangatik;n;n;;taraangatik saraangatik;n n;n;;kaangatik gaangatik;n s;n;;raangatik;s;fus;;;?
jaraangatta;tv;freq;nsp;1;p;;;jaraangatta;n;n;;taraangatta saraangatta;n n;n;;kaangatta gaangatta;n s;n;;raangatta;s;fus;;;?
jaraangassi;tv;freq;nsp;2;p;;;jaraangassi;n;n;;taraangassi saraangassi;n n;n;;kaangassi gaangassi;n s;n;;raangassi;s;fus;;;?
jaraangamik;tv;freq;nsp;3;p;;;jaraangamik;n;n;;taraangamik saraangamik;n n;n;;kaangamik gaangamik;n s;n;;raangamik;s;fus;;;?
jaraangata;tv;freq;nsp;4;p;;;jaraangata;n;n;;taraangata saraangata;n n;n;;kaangata gaangata;n s;n;;raangata;s;fus;;;?
jaraangavinga;tv;freq;sp;2;s;1;s;jaraangavinga jaraangangma;n n;n;;taraangavinga taraangangma saraangavinga saraangangma;n n n n;n;;kaangavinga kaangangma gaangavinga gaangangma;n n s s;n;;raangavinga raangangma;s s;fus;;;?
jaraangaminga;tv;freq;sp;3;s;1;s;jaraangaminga;n;n;;taraangaminga saraangaminga;n n;n;;kaangaminga gaangaminga;n s;n;;raangaminga;s;fus;;;?
jaraangaanga;tv;freq;sp;4;s;1;s;jaraangaanga;n;n;;taraangaanga saraangaanga;n n;n;;kaangaanga;n;n;;raangaanga;s;fus;;;?
jaraangapkit;tv;freq;sp;1;s;2;s;jaraangapkit;n;n;;taraangapkit saraangapkit;n n;n;;kaangapkit gaangapkit;n s;n;;raangapkit;s;fus;;;?
jaraangamitit;tv;freq;sp;3;s;2;s;jaraangamitit;n;n;;taraangamitit saraangamitit;n n;n;;kaangamitit gaangamitit;n s;n;;raangamitit;s;fus;;;?
jaraangaatit;tv;freq;sp;4;s;2;s;jaraangaatit;n;n;;taraangaatit saraangaatit;n n;n;;kaangaatit gaangaatit;n s;n;;raangaatit;s;fus;;;?
jaraangapku;tv;freq;sp;1;s;3;s;jaraangapku;n;n;;taraangapku saraangapku;n n;n;;kaangapku gaangapku;n s;n;;raangapku;s;fus;;;?
jaraangaviuk;tv;freq;sp;2;s;3;s;jaraangaviuk jaraangangni;n n;n;;taraangaviuk saraangaviuk taraangangni saraangangni;n n n n;n;;kaangaviuk gaangaviuk kaangangni gaangangni;n s n s;n;;raangaviuk raangangni;s s;fus;;;?
jaraangamiuk;tv;freq;sp;3;s;3;s;jaraangamiuk;n;n;;taraangamiuk saraangamiuk;n n;n;;kaangamiuk gaangamiuk;n s;n;;raangamiuk;s;fus;;;?
jaraangagu;tv;freq;sp;4;s;3;s;jaraangagu;n;n;;taraangagu saraangagu;n n;n;;kaangagu gaangagu;n s;n;;raangagu;s;fus;;;?
jaraangaptiguk;tv;freq;sp;2;s;1;d;jaraangaptiguk;n;n;;taraangaptiguk saraangaptiguk;n n;n;;kaangaptiguk gaangaptiguk;n s;n;;raangaptiguk;s;fus;;;?
jaraangamitiguk;tv;freq;sp;3;s;1;d;jaraangamitiguk;n;n;;taraangamitiguk saraangamitiguk;n n;n;;kaangamitiguk gaangamitiguk;n s;n;;raangamitiguk;s;fus;;;?
jaraangaatiguk;tv;freq;sp;4;s;1;d;jaraangaatiguk;n;n;;taraangaatiguk saraangaatiguk;n n;n;;kaangaatiguk gaangaatiguk;n s;n;;raangaatiguk;s;fus;;;?
jaraangassik;tv;freq;sp;1;s;2;d;jaraangassik jaraangattik;n n;n;;taraangassik saraangassik taraangattik saraangattik;n n n n;n;;kaangassik gaangassik kaangattik gaangattik;n s n s;n;;raangassik raangattik;s s;fus;;;?
jaraangamitik;tv;freq;sp;3;s;2;d;jaraangamitik;n;n;;taraangamitik saraangamitik;n n;n;;kaangamitik gaangamitik;n s;n;;raangamitik;s;fus;;;?
jaraangaatik;tv;freq;sp;4;s;2;d;jaraangaatik;n;n;;taraangaatik saraangaatik;n n;n;;kaangaatik gaangaatik;n s;n;;raangaatik;s;fus;;;?
jaraangakkik;tv;freq;sp;1;s;3;d;jaraangakkik;n;n;;taraangakkik saraangakkik;n n;n;;kaangakkik gaangakkik;n s;n;;raangakkik;s;fus;;;?
jaraangavigik;tv;freq;sp;2;s;3;d;jaraangavigik jaraangangni;n n;n;;taraangavigik saraangavigik taraangangni saraangangni;n n n n;n;;kaangavigik gaangavigik kaangangni gaangangni;n s n s;n;;raangavigik raangangni;s s;fus;;;?
jaraangamigik;tv;freq;sp;3;s;3;d;jaraangamigik;n;n;;taraangamigik saraangamigik;n n;n;;kaangamigik gaangamigik;n s;n;;raangamigik;s;fus;;;?
jaraangagik;tv;freq;sp;4;s;3;d;jaraangagik;n;n;;taraangagik saraangagik;n n;n;;kaangagik gaangagik;n s;n;;raangagik;s;fus;;;?
jaraangaptigut;tv;freq;sp;2;s;1;p;jaraangaptigut;n;n;;taraangaptigut saraangaptigut;n n;n;;kaangaptigut gaangaptigut;n s;n;;raangaptigut;s;fus;;;?
jaraangamitigut;tv;freq;sp;3;s;1;p;jaraangamitigut;n;n;;taraangamitigut saraangamitigut;n n;n;;kaangamitigut gaangamitigut;n s;n;;raangamitigut;s;fus;;;?
jaraangaatigut;tv;freq;sp;4;s;1;p;jaraangaatigut;n;n;;taraangaatigut saraangaatigut;n n;n;;kaangaatigut gaangaatigut;n s;n;;raangaatigut;s;fus;;;?
jaraangassi;tv;freq;sp;1;s;2;p;jaraangapsi;n;n;;taraangapsi saraangapsi;n n;n;;kaangapsi gaangapsi;n s;n;;raangapsi;s;fus;;;?
jaraangamisi;tv;freq;sp;3;s;2;p;jaraangamisi;n;n;;taraangamisi saraangamisi;n n;n;;kaangamisi gaangamisi;n s;n;;raangamisi;s;fus;;;?
jaraangaasi;tv;freq;sp;4;s;2;p;jaraangaasi;n;n;;taraangaasi saraangaasi;n n;n;;kaangaasi gaangaasi;n s;n;;raangaasi;s;fus;;;?
jaraangapkit;tv;freq;sp;1;s;3;p;jaraangapkit;n;n;;taraangapkit saraangapkit;n n;n;;kaangapkit gaangapkit;n s;n;;raangapkit;s;fus;;;?
jaraangavigit;tv;freq;sp;2;s;3;p;jaraangavigit jaraangangni;n n;n;;taraangavigit saraangavigit taraangangni saraangangni;n n n n;n;;kaangavigit gaangavigit kaangangni gaangangni;n s n s;n;;raangavigit raangangni;s s;fus;;;?
jaraangamigit;tv;freq;sp;3;s;3;p;jaraangamigit;n;n;;taraangamigit saraangamigit;n n;n;;kaangamigit gaangamigit;n s;n;;raangamigit;s;fus;;;?
jaraangagit;tv;freq;sp;4;s;3;p;jaraangagit;n;n;;taraangagit saraangagit;n n;n;;kaangagit gaangagit;n s;n;;raangagit;s;fus;;;?
jaraangattinga;tv;freq;sp;2;d;1;s;jaraangattinga;n;n;;taraangattinga saraangattinga;n n;n;;kaangattinga gaangattinga;n s;n;;raangattinga;s;fus;;;?
jaraangaminga;tv;freq;sp;3;d;1;s;jaraangaminga;n;n;;taraangaminga saraangaminga;n n;n;;kaangaminga gaangaminga;n s;n;;raangaminga;s;fus;;;?
jaraangaanga;tv;freq;sp;4;d;1;s;jaraangaanga;n;n;;taraangaanga saraangaanga;n n;n;;kaangaanga gaangaanga;n s;n;;raangaanga;s;fus;;;?
jaraangaptigit;tv;freq;sp;1;d;2;s;jaraangaptigit;n;n;;taraangaptigit saraangaptigit;n n;n;;kaangaptigit gaangaptigit;n s;n;;raangaptigit;s;fus;;;?
jaraangamitit;tv;freq;sp;3;d;2;s;jaraangamitit;n;n;;taraangamitit saraangamitit;n n;n;;kaangamitit gaangamitit;n s;n;;raangamitit;s;fus;;;?
jaraangaatit;tv;freq;sp;4;d;2;s;jaraangaatit;n;n;;taraangaatit saraangaatit;n n;n;;kaangaatit gaangaatit;n s;n;;raangaatit;s;fus;;;?
jaraangaptigu;tv;freq;sp;1;d;3;s;jaraangaptigu;n;n;;taraangaptigu saraangaptigu;n n;n;;kaangaptigu gaangaptigu;n s;n;;raangaptigu;s;fus;;;?
jaraangattiku;tv;freq;sp;2;d;3;s;jaraangattiku;n;n;;taraangattiku saraangattiku;n n;n;;kaangattiku gaangattiku;n s;n;;raangattiku;s;fus;;;?
jaraangamikku;tv;freq;sp;3;d;3;s;jaraangamikku;n;n;;taraangamikku saraangamikku;n n;n;;kaangamikku gaangamikku;n s;n;;raangamikku;s;fus;;;?
jaraangakku;tv;freq;sp;4;d;3;s;jaraangakku;n;n;;taraangakku saraangakku;n n;n;;kaangakku gaangakku;n s;n;;raangakku;s;fus;;;?
