morpheme;type;mode;specificity;perSubject;numbSubject;perObject;numbObject;V-form;V-actions;V-action1;V-action2;t-form;t-actions;t-action1;t-action2;k-form;k-actions;k-action1;k-action2;q-form;q-actions;q-action1;q-action2;SpecificCondOnPrecMorph;sources
lik;tv;imp;nsp;3;d;;;lik;n;n;;lik;son;son;;lik;son;son;;lik;son;son;;;?
ta;tv;imp;nsp;1;p;;;ta ta;n i(p);n i(p) i(t);;ta;n;n;;ta ta;n a;n a;;ta;n;n;;;?
gipsi;tv;imp;nsp;2;p;;;gipsi;n;n;;tipsi gipsi;n s;n n s s;;gipsi;s;fus;;ripsi;s;fus;;;?
lit;tv;imp;nsp;3;p;;;lit;n;n;;lit;son;son;;lit;son;son;;lit;son;son;;;?
vungaa;tv;int;nsp;1;s;;;vungaa;n;n;;pungaa;a;a;;pungaa;n;n;;pungaa qungaa;n son;n son;;;?
viit;tv;int;nsp;2;s;;;viit;n;n;;piit;a;a;;piit;n;n;;piit qiit;n son;n son;;;?
vaa;tv;int;nsp;3;s;;;vaa;n;n;;paa;a;a;;paa;n;n;;paa qaa;n son;n son;;;?
vinuuk;tv;int;nsp;1;d;;;vinuuk;n;n;;pinuuk;a;a;;pinuuk;n;n;;pinuuk qinuuk;n son;n son;;;?
visiik;tv;int;nsp;2;d;;;visiik vitiik;n n;n;;pisiik pitiik;a a;a;;pisiik pitiik;n n;n;;pisiik qisiik pitiik qitiik;n son n son;n son n son;;;?
vaak;tv;int;nsp;3;d;;;vaak;n;n;;paak;a;a;;paak;n;n;;paak qaak;n son;n son;;;?
vitaa;tv;int;nsp;1;p;;;vitaa;n;n;;pitaa;a;a;;pitaa;n;n;;pitaa qitaa;n son;n son;;;?
visii;tv;int;nsp;2;p;;;visii;n;n;;pisii;a;a;;pisii;n;n;;pisii qisii;n son;n son;;;?
vaat;tv;int;nsp;3;p;;;vaat;n;n;;paat;a;a;;paat;n;n;;paat qaat;n son;n son;;;?
varma;tv;dec;sp;2;s;1;s;varma;n;n;;parma;a;a;;parma;n;n;;parma qarma;n son;n son;;;?
vaanga;tv;dec;sp;3;s;1;s;vaanga;n;n;;paanga;a;a;;paanga;n;n;;paanga qaanga;n son;n son;;;?
vagit;tv;dec;sp;1;s;2;s;vagit;n;n;;pagit;a;a;;pagit;n;n;;pagit qagit;n son;n son;;;?
vaatit;tv;dec;sp;3;s;2;s;vaatit;n;n;;paatit;a;a;;paatit;n;n;;paatit qaatit;n son;n son;;;?
vara;tv;dec;sp;1;s;3;s;vara;n;n;;para;a;a;;para;n;n;;para qara;n son;n son;;;?
vait;tv;dec;sp;2;s;3;s;vait;n;n;;pait;a;a;;pait;n;n;;pait qait;n son;n son;;;?
vanga;tv;dec;sp;3;s;3;s;vanga vaa;n n;n;;panga paa;a a;a;;panga paa;a a;n;;panga paa qanga qaa;n n son son;n n son son;;;?
vattiguk;tv;dec;sp;2;s;1;d;vattiguk vattikkuk;n n;n;;pattiguk pattikkuk;a a;a;;pattiguk pattikkuk;n n;n;;pattiguk pattikkuk qattiguk qattikkuk;n n son son;n n son son;;;?
vaatiguk;tv;dec;sp;3;s;1;d;vaatiguk vaatikkuk;n n;n;;paatiguk paatikkuk;a a;a;;paatiguk paatikkuk;n n;n;;paatiguk paatikkuk qaatiguk qaatikkuk;n n son son;n n son son;;;?
vassik;tv;dec;sp;1;s;2;d;vassik;n;n;;passik;a;a;;passik;n;n;;passik qassik;n son;n son;;;?
vaasik;tv;dec;sp;3;s;2;d;vaasik vaatik;n n;n;;paasik paatik;a a;a;;paasik paatik;n n;n;;paasik paatik qaasik qaatik;n n son son;n n son son;;;?
vaakka;tv;dec;sp;1;s;3;d;vaakka;n;n;;paakka;a;a;;paakka;n;n;;paakka qaakka;n son;n son;;;?
vaakkik;tv;dec;sp;2;s;3;d;vaakkik;n;n;;paakkik;a;a;;paakkik;n;n;;paakkik qaakkik;n son;n son;;;?
vaangik;tv;dec;sp;3;s;3;d;vaangik;n;n;;paangik;a;a;;paangik;n;n;;paangik qaangik;n son;n son;;;?
vaptigut;tv;dec;sp;2;s;1;p;vaptigut;n;n;;paptigut;a;a;;paptigut;n;n;;paptigut qaptigut;n son;n n son son;;;?
vaatigut;tv;dec;sp;3;s;1;p;vaatigut;n;n;;paatigut;a;a;;paatigut;n;n;;paatigut qaatigut;n son;n son;;;?
vassi;tv;dec;sp;1;s;2;p;vassi vatsi;n n;n;;passi patsi;a a;a;;passi patsi;n n;n;;patsi qatsi;n son;n son n son;;;?
vaasi;tv;dec;sp;3;s;2;p;vaasi;n;n;;paasi;a;a;;paasi;n;n;;paasi qaasi;n son;n son;;;?
vakka;tv;dec;sp;1;s;3;p;vakka;n;n;;pakka;a;a;;pakka;n;n;;pakka qakka;n son;n son;;;?
vatit;tv;dec;sp;2;s;3;p;vatit;n;n;;patit;a;a;;patit;n;n;;patit qatit;n son;n son;;;?
vangit;tv;dec;sp;3;s;3;p;vangit vait;n n;n;;pangit pait;a a;a;;pangit pait;n n;n;;pangit pait qangit qait;n n son son;n n son son;;;?
gama;tv;caus;nsp;1;s;;;gama;n;n;;nama;a;a;;kama;n;n;;rama;s;fus;;;?
gavit;tv;caus;nsp;2;s;;;gavit;n;n;;navit;a;a;;kavit;n;n;;ravit;s;fus;;;?
gami;tv;caus;nsp;3;s;;;gami;n;n;;nami;a;a;;kami;n;n;;rami;s;fus;;;?
mat;tv;caus;nsp;4;s;;;mat;i(ng);i(ng) i(m);;mat;a;a;;mat;nas;nas;;mat;nas;nas;;;?
gannuk;tv;caus;nsp;1;d;;;gannuk;n;n;;nannuk;a;a;;kannuk;n;n;;rannuk;s;fus;;;?
gassik;tv;caus;nsp;2;d;;;gassik gapsik gatsik;n n n;n n n;;nassik napsik natsik;a a a;a;;kassik kapsik katsik;n n n;n;;rassik rapsik ratsik;s s s;fus;;;?
gamik;tv;caus;nsp;3;d;;;gamik;n;n;;namik;a;a;;kamik;n;n;;ramik;s;fus;;;?
matik;tv;caus;nsp;4;d;;;matik;i(ng);i(ng) i(m);;matik;a;a;;matik;nas;nas;;matik;nas;nas;;;?
gapta;tv;caus;nsp;1;p;;;gapta;n;n;;napta;a;a;;kapta;n;n;;rapta;s;fus;;;?
gassi;tv;caus;nsp;2;p;;;gassi gapsi gatsi;n n n;n;;nassi napsi natsi;a a a;a;;kassi kapsi katsi;n n n;n;;rassi rapsi ratsi;s s s;fus;;;?
gamik;tv;caus;nsp;3;p;;;gamik;n;n;;namik;a;a;;kamik;n;n;;ramik;s;fus;;;?
mata;tv;caus;nsp;4;p;;;mata;i(ng);i(ng) i(m);;mata;a;a;;mata;nas;nas;;mata;nas;nas;;;?
guma;tv;cond;nsp;1;s;;;guma;n;n;;kuma;a;a;;kuma;n;n;;ruma;s;fus;;;?
guvit;tv;cond;nsp;2;s;;;guvit;n;n;;kuvit;a;a;;kuvit;n;n;;ruvit;s;fus;;;?
guni;tv;cond;nsp;3;s;;;guni;n;n;;kuni;a;a;;kuni;n;n;;runi;s;fus;;;?
pat;tv;cond;nsp;4;s;;;pat;i(k);i(k) i(p);;pat;a;a;;pat;n;n;;pat;n;n;;;?
gunnuk;tv;cond;nsp;1;d;;;gunnuk;n;n;;kunnuk;a;a;;kunnuk;n;n;;runnuk;s;fus;;;?
gussik;tv;cond;nsp;2;d;;;gussik gupsik gutsik;n n n;n;;kussik kupsik kutsik;a a a;a;;kussik kupsik kutsik;n n n;n;;russik rupsik rutsik;s s s;fus;;;?
gunik;tv;cond;nsp;3;d;;;gunik;n;n;;kunik;a;a;;kunik;n;n;;runik;s;fus;;;?
