morpheme;key;type;function;position;transitivity;nature;plural;antipassive;V-form;V-actions;V-action1;V-action2;t-form;t-actions;t-action1;t-action2;k-form;k-actions;k-action1;k-action2;q-form;q-actions;q-action1;q-action2;engMean;freMean;condPrec;condPrecTrans;condOnNext;sources;composition;dialect;mobility
luaq;1;sv;vv;m;n;;;;luaq lluaq;n n;n;;luaq lluaq;s s;s;;luaq lluaq;s s;s;;luaq lluaq;s s;s;;excessive action: 'too much';;;;;;;;
luk;1;sn;nv;m;i;;;;luk;n;n;;luk;s;s;;luk;s;s;;luk;s;s;;to have something bad or poor;avoir quelque chose qui est mauvais ou de pauvre qualité;;;;H1;;;m
luk;3;sv;vv;m;n;;;;luk;n;n;;luk;s;s;;luk;s;s;;luk;s;s;;to perform an action in a poor or bad manner;accomplir une action d'une mauvaise ou d'une piètre façon;;;;H1;;;m
luk;2;sn;nn;t;;;;;luk;n;n;;luk;s;s;;luk;s;s;;luk;s;s;;something bad or poor;quelque chose de mauvais ou de pauvre qualité;;;;H1;;;m
luktaaq;1;sn;nn;t;;;;;luktaaq;n;n;;luktaaq;s;s;;luktaaq;s;s;;luktaaq;s;s;;inclusiveness: 'all of', 'the whole of';inclusion: 'tout le', 'l'ensemble de';;;;A1;;;m
luktaat;1;sn;nn;t;;;;;luktaat;n;n;;luktaat;s;s;;luktaat;s;s;;luktaat;s;s;;inclusiveness: 'every';inclusion: 'tous les';;;;A1;;;m
luunniit;1;q;q;;;;;;luunniit lunniit;n n;n;;luunniit lunniit;son son;son;;luunniit lunniit;son son;son;;luunniit lunniit;son son;son;;or;;;;;;;;
ma;1;sv;vv;m;n;;;;ma uma;n n;n;;ma uma;s s;s;;ma uma;s s;s;;ma uma;s s;s s;;to be in a state of;être dans un état de;;;;H1 A1;;;m
mi;1;sv;vv;m;n;;;;mi;i(ng);i(ng);;mi;a;a;;mi;son;son;;mi;son;son;;again;encore;;;;;;;
miik;1;sv;vn;t;;;;;miik mii mi;n n n;n;;miik mii mi;nas nas nas;nas;;miik mii mi;nas nas nas;nas;;miik mii mi miik mii mi;nas nas nas s s s;nas nas nas s s s;;"exclamation: ""Oh! how ...!""";"exclamation: ""Oh! comme c'est ...!""";;;;;;;m
miniq;1;sn;nn;t;;;;;miniq;n;n;;miniq;s;s;;miniq;s;s;;miniq;s;s;;denotes a former state;;;;;;;;
miuq;1;sn;nn;t;;;;;miuq;n;n;;miuq;nas;nas;;miuq;nas;nas;;niuq;nas;nas;;resident of a place name;résidant d'un nom d'endroit;;;;H1;;;m
miutaq;1;sn;nn;t;;;;;miutaq miut;n n;n;;miutaq miut;a i(i);a i(i);;miutaq miut;nas nas;nas;;miutaq miut;nas nas;nas;;resident of;;;;;;;;
mmarik;1;sn;nn;t;;;;;mmarik;n;n;;mmarik;s;s;;mmarik;s;s;;mmarik;s;s;;genuineness;véritable;;;;H1;;;m
