morpheme,type,mode,specificity,perSubject,numbSubject,perObject,numbObject,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrecSpecific,sources
vaatit,tv,dec,sp,3,d,2,s,,n,,paatit,a,,paatit,n,,paatit qaatit,n son,,,?
vavuk,tv,dec,sp,1,d,3,s,,n,,pavuk,a,,pavuk,n,,pavuk qavuk,n son,,,?
vasik,tv,dec,sp,2,d,3,s,vatik,n,,pasik patik,a,,pasik patik,n,,pasik patik qasik qatik,n n son son,,,?
vangak,tv,dec,sp,3,d,3,s,,n,,pangak,a,,pangak,n,,pangak qangak,n son,,,?
vaattiguk,tv,dec,sp,2,d,1,d,,n,,paattiguk,a,,paattiguk,n,,paattiguk qaattiguk,n son,,,?
vaatiguk,tv,dec,sp,3,d,1,d,,n,,paatiguk,a,,paatiguk,n,,paatiguk qaatiguk,n son,,,?
vassik,tv,dec,sp,1,d,2,d,,n,,passik,a,,passik,n,,passik qassik,n son,,,?
vaatik,tv,dec,sp,3,d,2,d,,n,,paatik,a,,paatik,n,,paatik qaatik,n son,,,?
vaavuk,tv,dec,sp,1,d,3,d,,n,,paavuk,a,,paavuk,n,,paavuk qaavuk,n son,,,?
vaassik,tv,dec,sp,2,d,3,d,vaattik,n,,paassik paattik,a,,paassik paattik,n,,paassik paattik qaassik qaattik,n n son son,,,?
vaangik,tv,dec,sp,3,d,3,d,,n,,paangik,a,,paangik,n,,paangik qaangik,n son,,,?
vaattigut,tv,dec,sp,2,d,1,p,,n,,paattigut,a,,paattigut,n,,paattigut qaattigut,n son,,,?
vaatigut,tv,dec,sp,3,d,1,p,,n,,paatigut,a,,paatigut,n,,paatigut qaatigut,n son,,,?
vassi,tv,dec,sp,1,d,2,p,,n,,passi,a,,passi,n,,passi qassi,n son,,,?
vaasi,tv,dec,sp,3,d,2,p,,n,,paasi,a,,paasi,n,,paasi qaasi,n son,,,?
vavuk,tv,dec,sp,1,d,3,p,,n,,pavuk,a,,pavuk,n,,pavuk qavuk,n son,,,?
vasik,tv,dec,sp,2,d,3,p,vatik,n,,pasik patik,a,,pasik patik,n,,pasik patik qasik qatik,n n son son,,,?
vangik,tv,dec,sp,3,d,3,p,,n,,pangik,a,,pangik,n,,pangik qangik,n son,,,?
vassinga,tv,dec,sp,2,p,1,s,vapsinga vatsinga,n,,passinga papsinga patsinga,a,,passinga papsinga patsinga,n,,passinga papsinga patsinga qassinga qapsinga qatsinga,n n n son son son,,,?
vaanga,tv,dec,sp,3,p,1,s,,n,,paanga,a,,paanga,n,,paanga qaanga,n son,,,?
vattigit,tv,dec,sp,1,p,2,s,vaptigit,n,,pattigit paptigit,a,,pattigit paptigit,n,,pattigit paptigit qattigit qaptigit,n n son son,,,?
