morpheme,type,mode,specificity,perSubject,numbSubject,perObject,numbObject,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrecSpecific,sources
jaattigut,tv,ger,sp,2,d,1,p,,n,,taattigut,n,,taattigut,n,,taattigut,n,,,?
jaatigut,tv,ger,sp,3,d,1,p,,n,,taatigut,n,,taatigut,n,,taatigut,n,,,?
jassi,tv,ger,sp,1,d,2,p,,n,,tassi,n,,tassi,n,,tassi,n,,,?
jaasi,tv,ger,sp,3,d,2,p,,n,,taasi,n,,taasi,n,,taasi,n,,,?
javuk,tv,ger,sp,1,d,3,p,,n,,tavuk,n,,tavuk,n,,tavuk,n,,,?
jasik,tv,ger,sp,2,d,3,p,jatik,n,,tasik tatik,n,,tasik tatik,n,,tasik tatik,n,,,?
jangik,tv,ger,sp,3,d,3,p,,n,,tangik,n,,tangik,n,,tangik,n,,,?
jassinga,tv,ger,sp,2,p,1,s,japsinga jatsinga,n,,tassinga tapsinga tatsinga,n,,tassinga tapsinga tatsinga,n,,tassinga tapsinga tatsinga,n,,,?
jaanga,tv,ger,sp,3,p,1,s,,n,,taanga,n,,taanga,n,,taanga,n,,,?
jattigit,tv,ger,sp,1,p,2,s,japtigit,n,,tattigit taptigit,n,,tattigit taptigit,n,,tattigit taptigit,n,,,?
jaatit,tv,ger,sp,3,p,2,s,,n,,taatit,n,,taatit,n,,taatit,n,,,?
javut,tv,ger,sp,1,p,3,s,,n,,tavut,n,,tavut,n,,tavut,n,,,?
jasi,tv,ger,sp,2,p,3,s,,n,,tasi,n,,tasi,n,,tasi,n,,,?
jangat,tv,ger,sp,3,p,3,s,jaat,n,,tangat taat,n,,tangat taat,n,,tangat taat,n,,,?
jattiguk,tv,ger,sp,2,p,1,d,,n,,tattiguk,n,,tattiguk,n,,tattiguk,n,,,?
jaatiguk,tv,ger,sp,3,p,1,d,,n,,taatiguk,n,,taatiguk,n,,taatiguk,n,,,?
jassik,tv,ger,sp,1,p,2,d,,n,,tassik,n,,tassik,n,,tassik,n,,,?
jaasik,tv,ger,sp,3,p,2,d,jaatik,n,,taasik taatik,n,,taasik taatik,n,,taasik taatik,n,,,?
jaavut,tv,ger,sp,1,p,3,d,,n,,taavut,n,,taavut,n,,taavut,n,,,?
jaassi,tv,ger,sp,2,p,3,d,,n,,taassi,n,,taassi,n,,taassi,n,,,?
jaangik,tv,ger,sp,3,p,3,d,,n,,taangik,n,,taangik,n,,taangik,n,,,?
jattigut,tv,ger,sp,2,p,1,p,japtigut,n,,tattigut taptigut,n,,tattigut taptigut,n,,tattigut taptigut,n,,,?
jaatigut,tv,ger,sp,3,p,1,p,,n,,taatigut,n,,taatigut,n,,taatigut,n,,,?
jassi,tv,ger,sp,1,p,2,p,japsi,n,,tassi tapsi,n,,tassi tapsi,n,,tassi tapsi,n,,,?
jaasi,tv,ger,sp,3,p,2,p,,n,,taasi,n,,taasi,n,,taasi,n,,,?
javut,tv,ger,sp,1,p,3,p,,n,,tavut,n,,tavut,n,,tavut,n,,,?
jasi,tv,ger,sp,2,p,3,p,,n,,tasi,n,,tasi,n,,tasi,n,,,?
jangit,tv,ger,sp,3,p,3,p,jait,n,,tangit tait,n,,tangit tait,n,,tangit tait,n,,,?
jaraangama,tv,freq,nsp,1,s,,,,n,,taraangama saarangama,n,,kaangama gaangama,n,,raangama,fus,,,?
jaraangavit,tv,freq,nsp,2,s,,,,n,,taraangavit saraangavit,n,,kaangavit gaangavit,n,,raangavit,fus,,,?
jaraangami,tv,freq,nsp,3,s,,,,n,,taraangami saraangami,n,,kaangami gaangami,n,,raangami,fus,,,?
jaraangat,tv,freq,nsp,4,s,,,,n,,taraangat saraangat,n,,kaangat gaangat,n,,raangat,fus,,,?
jaraangannuk,tv,freq,nsp,1,d,,,,n,,taraangannuk saraangannuk,n,,kaangannuk gaangannuk,n,,raangannuk,fus,,,?
jaraangassik,tv,freq,nsp,2,d,,,,n,,taraangassik saraangassik,n,,kaangassik gaangassik,n,,raangassik,fus,,,?
jaraangamik,tv,freq,nsp,3,d,,,,n,,taraangamik,n,,kaangamik gaangamik,n,,raangamik,fus,,,?
jaraangatik,tv,freq,nsp,4,d,,,,n,,taraangatik saraangatik,n,,kaangatik gaangatik,n,,raangatik,fus,,,?
jaraangatta,tv,freq,nsp,1,p,,,,n,,taraangatta saraangatta,n,,kaangatta gaangatta,n,,raangatta,fus,,,?
jaraangassi,tv,freq,nsp,2,p,,,,n,,taraangassi sarrangassi,n,,kaangassi gaangassi,n,,raangassi,fus,,,?
jaraangamik,tv,freq,nsp,3,p,,,,n,,taraangamik sarrangamik,n,,kaangamik gaangamik,n,,raangamik,fus,,,?
jaraangata,tv,freq,nsp,4,p,,,,n,,taraangata saraangata,n,,kaangata gaangata,n,,raangata,fus,,,?
jaraangavinga,tv,freq,sp,2,s,1,s,jaraangangma,n,,taraangavinga taraangangma saraangavinga saraangangma,n,,kaangavinga kaangangma gaangavinga gaangangma,n,,raangavinga raangangma,fus,,,?
jaraangaminga,tv,freq,sp,3,s,1,s,,n,,taraangaminga saraangaminga,n,,kaangaminga gaangaminga,n,,raangaminga,fus,,,?
jaraangaanga,tv,freq,sp,4,s,1,s,,n,,taraangaanga saraangaanga,n,,kaangaanga,n,,raangaanga,fus,,,?
jaraangakkit,tv,freq,sp,1,s,2,s,jaraangapkit,n,,taraangakkit saraangakkit taraangapkit saraangapkit,n,,kaangakkit gaangakkit kaangapkit gaangapkit,n,,raangakkit raangapkit,fus,,,?
jaraangamitit,tv,freq,sp,3,s,2,s,,n,,taraangamitit saraangamitit,n,,kaangamitit gaangamitit,n,,raangamitit,fus,,,?
jaraangaatit,tv,freq,sp,4,s,2,s,,n,,taraangaatit saraangaatit,n,,kaangaatit gaangaatit,n,,raangaatit,fus,,,?
jaraangakku,tv,freq,sp,1,s,3,s,jaraangapku,n,,taraangakku saraangakku taraangapku saraangapku,n,,kaangakku gaangakku kaangapku gaangapku,n,,raangakku raangapku,fus,,,?
jaraangaviuk,tv,freq,sp,2,s,3,s,jaraangangni,n,,taraangaviuk saraangaviuk taraangangni saraangangni,n,,kaangaviuk gaangaviuk kaangangni gaangangni,n,,raangaviuk raangangni,fus,,,?
jaraangamiuk,tv,freq,sp,3,s,3,s,,n,,taraangamiuk saraangamiuk,n,,kaangamiuk gaangamiuk,n,,raangamiuk,fus,,,?
jaraangagu,tv,freq,sp,4,s,3,s,,n,,taraangagu saraangagu,n,,kaangagu gaangagu,n,,raangagu,fus,,,?
jaraangattiguk,tv,freq,sp,2,s,1,d,jaraangaptiguk,n,,taraangattiguk saraangattiguk taraangaptiguk saraangaptiguk,n,,kaangattiguk gaangattiguk kaangaptiguk gaangaptiguk,n,,raangattiguk raangaptiguk,fus,,,?
jaraangamitiguk,tv,freq,sp,3,s,1,d,,n,,taraangamitiguk saraangamitiguk,n,,kaangamitiguk gaangamitiguk,n,,raangamitiguk,fus,,,?
jaraangaatiguk,tv,freq,sp,4,s,1,d,,n,,taraangaatiguk saraangaatiguk,n,,kaangaatiguk gaangaatiguk,n,,raangaatiguk,fus,,,?
jaraangassik,tv,freq,sp,1,s,2,d,jaraangattik,n,,taraangassik saraangassik taraangattik saraangattik,n,,kaangassik gaangassik kaangattik gaangattik,n,,raangassik raangattik,fus,,,?
jaraangamitik,tv,freq,sp,3,s,2,d,,n,,taraangamitik saraangamitik,n,,kaangamitik gaangamitik,n,,raangamitik,fus,,,?
jaraangaatik,tv,freq,sp,4,s,2,d,,n,,taraangaatik saraangaatik,n,,kaangaatik gaangaatik,n,,raangaatik,fus,,,?
jaraangakkik,tv,freq,sp,1,s,3,d,,n,,taraangakkik saraangakkik,n,,kaangakkik gaangakkik,n,,raangakkik,fus,,,?
jaraangavigik,tv,freq,sp,2,s,3,d,jaraangangni,n,,taraangavigik saraangavigik taraangangni saraangangni,n,,kaangavigik gaangavigik gaangangni gaangangni,n,,raangavigik raangangni,fus,,,?
jaraangamigik,tv,freq,sp,3,s,3,d,,n,,taraangamigik saraangamigik,n,,kaangamigik gaangamigik,n,,raangamigik,fus,,,?
jaraangagik,tv,freq,sp,4,s,3,d,,n,,taraangagik saraangagik,n,,kaangagik gaangagik,n,,raangagik,fus,,,?
jaraangattigut,tv,freq,sp,2,s,1,p,jaraangaptigut,n,,taraangattigut saraangattigut taraangaptigut saraangaptigut,n,,kaangattigut gaangattigut kaangaptigut gaangaptigut,n,,raangattigut raangaptigut,fus,,,?
jaraangamitigut,tv,freq,sp,3,s,1,p,,n,,taraangamitigut saraangamitigut,n,,kaangamitigut gaangamitigut,n,,raangamitigut,fus,,,?
jaraangaatigut,tv,freq,sp,4,s,1,p,,n,,taraangaatigut saraangaatigut,n,,kaangaatigut gaangaatigut,n,,raangaatigut,fus,,,?
jaraangassi,tv,freq,sp,1,s,2,p,jaraangapsi jaraangatsi,n,,taraangassi saraangassi taraangapsi saraangapsi taraangatsi saraangatsi,n,,kaangassi gaangassi kaangapsi gaangapsi kaangatsi gaangatsi,n,,raangassi raangapsi raangatsi,fus,,,?
jaraangamisi,tv,freq,sp,3,s,2,p,,n,,taraangamisi saraangamisi,n,,kaangamisi gaangamisi,n,,raangamisi,fus,,,?
jaraangaasi,tv,freq,sp,4,s,2,p,,n,,taraangaasi saraangaasi,n,,kaangaasi gaangaasi,n,,raangaasi,fus,,,?
jaraangakkit,tv,freq,sp,1,s,3,p,jaraangapkit,n,,taraangakkit saraangakkit taraangapkit saraangapkit,n,,kaangakkit gaangakkit kaangapkit gaangapkit,n,,raangakkit raangapkit,fus,,,?
jaraangavigit,tv,freq,sp,2,s,3,p,jaraangangni,n,,taraangavigit saraangavigit taraangangni saraangangni,n,,kaangavigit gaangavigit kaangangni gaangangni,n,,raangavigit raangangni,fus,,,?
jaraangamigit,tv,freq,sp,3,s,3,p,,n,,taraangamigit saraangamigit,n,,kaangamigit gaangamigit,n,,raangamigit,fus,,,?
jaraangagit,tv,freq,sp,4,s,3,p,,n,,taraangagit saraangagit,n,,kaangagit gaangagit,n,,raangagit,fus,,,?
jaraangattinga,tv,freq,sp,2,d,1,s,,n,,taraangattinga saraangattinga,n,,kaangattinga gaangattinga,n,,raangattinga,fus,,,?
jaraangaminga,tv,freq,sp,3,d,1,s,,n,,taraangaminga saraangaminga,n,,kaangaminga gaangaminga,n,,raangaminga,fus,,,?
jaraangaanga,tv,freq,sp,4,d,1,s,,n,,taraangaanga saraangaanga,n,,kaangaanga gaangaanga,n,,raangaanga,fus,,,?
jaraangattigit,tv,freq,sp,1,d,2,s,jaraangaptigit,n,,taraangattigit saraangattigit taraangaptigit saraangaptigit,n,,kaangattigit gaangattigit kaangaptigit gaangaptigit,n,,raangattigit raangaptigit,fus,,,?
jaraangamitit,tv,freq,sp,3,d,2,s,,n,,taraangamitit saraangamitit,n,,kaangamitit gaangamitit,n,,raangamitit,fus,,,?
jaraangaatit,tv,freq,sp,4,d,2,s,,n,,taraangaatit saraangaatit,n,,kaangaatit gaangaatit,n,,raangaatit,fus,,,?
jaraangattigu,tv,freq,sp,1,d,3,s,jaraangaptigu,n,,taraangattigu saraangattigu taraangaptigu saraangaptigu,n,,kaangattigu gaangattigu kaangaptigu gaangaptigu,n,,raangattigu raangaptigu,fus,,,?
jaraangattiku,tv,freq,sp,2,d,3,s,,n,,taraangattiku saraangattiku,n,,kaangattiku gaangattiku,n,,raangattiku,fus,,,?
jaraangamikku,tv,freq,sp,3,d,3,s,,n,,taraangamikku saraangamikku,n,,kaangamikku gaangamikku,n,,raangamikku,fus,,,?
jaraangakku,tv,freq,sp,4,d,3,s,,n,,taraangakku saraangakku,n,,kaangakku gaangakku,n,,raangakku,fus,,,?
jaraangattiguk,tv,freq,sp,2,d,1,d,,n,,taraangattiguk saraangattiguk,n,,kaangattiguk gaangattiguk,n,,raangattiguk,fus,,,?
jaraangamitiguk,tv,freq,sp,3,d,1,d,,n,,taraangamitiguk saraangamitiguk,n,,kaangamitiguk gaangamitiguk,n,,raangamitiguk,fus,,,?
jaraangaatiguk,tv,freq,sp,4,d,1,d,,n,,taraangaatiguk saraangaatiguk,n,,kaangaatiguk gaangaatiguk,n,,raangaatiguk,fus,,,?
jaraangassik,tv,freq,sp,1,d,2,d,jaraangattik,n,,taraangassik saraangassik taraangattik saraangattik,n,,kaangasiik gaangassik kaangattik gaangattik,n,,raangassik raangattik,fus,,,?
jaraangamitik,tv,freq,sp,3,d,2,d,,n,,taraangamitik saraangamitik,n,,kaangamitik gaangamitik,n,,raangamitik,fus,,,?
jaraangaatik,tv,freq,sp,4,d,2,d,,n,,taraangaatik saraangaatik,n,,kaangaatik gaangaatik,n,,raangaatik,fus,,,?
jaraangattigik,tv,freq,sp,1,d,3,d,jaraangaptigik,n,,taraangattigik saraangattigik taraangaptigik saraangaptigik,n,,kaangattigik gaangattigik kaangaptigik gaangaptigik,n,,raangattigik raangaptigik,fus,,,?
jaraangattikik,tv,freq,sp,2,d,3,d,,n,,taraangattikik saraangattikik,n,,kaangattikik gaangattikik,n,,raangattikik,fus,,,?
jaraangamikkik,tv,freq,sp,3,d,3,d,,n,,taraangamikkik saraangamikkik,n,,kaangamikkik gaangamikkik,n,,raangamikkik,fus,,,?
jaraangakkik,tv,freq,sp,4,d,3,d,,n,,taraangakkik saraangakkik,n,,kaangakkik gaangakkik,n,,raangakkik,fus,,,?
jaraangattigut,tv,freq,sp,2,d,1,p,,n,,taraangattigut saraangattigut,n,,kaangattigut gaangattigut,n,,raangattigut,fus,,,?
jaraangamitigut,tv,freq,sp,3,d,1,p,,n,,taraangamitigut saraangamitigut,n,,kaangamitigut gaangamitigut,n,,raangamitigut,fus,,,?
jaraangaatigut,tv,freq,sp,4,d,1,p,,n,,taraangaatigut saraangaatigut,n,,kaangaatigut gaangaatigut,n,,raangaatigut,fus,,,?
jaraangassi,tv,freq,sp,1,d,2,p,jaraangapsi jaraangatsi,n,,taraangassi saraangassi taraangapsi saraangapsi taraangatsi saraangatsi,n,,kaangassi gaangassi kaangapsi gaangapsi kaangatsi gaangatsi,n,,raangassi raangapsi raangatsi,fus,,,?
jaraangamisi,tv,freq,sp,3,d,2,p,,n,,taraangamisi saraangamisi,n,,kaangamisi gaangamisi,n,,raangamisi,fus,,,?
jaraangaasi,tv,freq,sp,4,d,2,p,,n,,taraangaasi saraangaasi,n,,kaangaasi gaangaasi,n,,raangaasi,fus,,,?
jaraangattigit,tv,freq,sp,1,d,3,p,jaraangaptigit,n,,taraangattigit saraangattigit taraangaptigit saraangaptigit,n,,kaangattigit gaangattigit kaangaptigit gaangaptigit,n,,raangattigit raangaptigit,fus,,,?
jaraangattikit,tv,freq,sp,2,d,3,p,,n,,taraangattikit saraangattikit,n,,kaangattikit gaangattikit,n,,raangattikit,fus,,,?
jaraangamikkit,tv,freq,sp,3,d,3,p,,n,,taraangamikkit saraangamikkit,n,,kaangamikkit gaangamikkit,n,,raangamikkit,fus,,,?
jaraangakkit,tv,freq,sp,4,d,3,p,,n,,taraangakkit saraangakkit,n,,kaangakkit gaangakkit,n,,raangakkit,fus,,,?
jaraangassinga,tv,freq,sp,2,p,1,s,jaraangapsinga jaraangatsinga,n,,taraangassinga saraangassinga taraangapsinga saraangapsinga taraangatsinga saraangatsinga,n,,kaangassinga gaangassinga kaangapsinga gaangapsinga kaangatsinga gaangatsinga,n,,raangassinga raangapsinga raangatsinga,fus,,,?
jaraangaminga,tv,freq,sp,3,p,1,s,,n,,taraangaminga saraangaminga,n,,kaangaminga gaangaminga,n,,raangaminga,fus,,,?
jaraangaanga,tv,freq,sp,4,p,1,s,,n,,taraangaanga saraangaanga,n,,kaangaanga gaangaanga,n,,raangaanga,fus,,,?
jaraangattigit,tv,freq,sp,1,p,2,s,jaraangaptigit,n,,taraangattigit saraangattigit taraangaptigit saraangaptigit,n,,kaangattigit gaangattigit kaangaptigit gaangaptigit,n,,raangattigit raangaptigit,fus,,,?
jaraangamitit,tv,freq,sp,3,p,2,s,,n,,taraangamitit saraangamitit,n,,kaangamitit gaangamitit,n,,raangamitit,fus,,,?
jaraangaatit,tv,freq,sp,4,p,2,s,,n,,taraangaatit saraangaatit,n,,kaangaatit gaangaatit,n,,raangaatit,fus,,,?
jaraangattigu,tv,freq,sp,1,p,3,s,jaraangaptigu,n,,taraangattigu saraangattigu taraangaptigu saraangaptigu,n,,kaangattigu gaangattigu kaangaptigu gaangaptigu,n,,raangattigu raangaptigu,fus,,,?
jaraangassiuk,tv,freq,sp,2,p,3,s,jaraangapsiuk jaraangatsiuk,n,,taraangassiuk saraangassiuk taraangapsiuk saraangapsiuk taraangatsiuk saraangatsiuk,n,,kaangassiuk gaangassiuk kaangapsiuk gaangapsiuk kaangatsiuk gaangatsiuk,n,,raangassiuk raangapsiuk raangatsiuk,fus,,,?
jaraangamijjuk,tv,freq,sp,3,p,3,s,jaraangamiku,n,,taraangamijjuk saraangamijjuk taraangamiku saraangamiku,n,,kaangamijjuk gaangamijjuk kaangamiku gaangamiku,n,,raangamijjuk raangamiku,fus,,,?
jaraangajjuk,tv,freq,sp,4,p,3,s,,n,,taraangajjuk saraangajjuk,n,,kaangajjuk gaangajjuk,n,,raangajjuk,fus,,,?
jaraangattiguk,tv,freq,sp,2,p,1,d,jaraangaptiguk,n,,taraangattiguk saraangattiguk taraangaptiguk saraangaptiguk,n,,kaangattiguk gaangattiguk kaangaptiguk gaangaptiguk,n,,raangattiguk raangaptiguk,fus,,,?
jaraangamitiguk,tv,freq,sp,3,p,1,d,,n,,taraangamitiguk saraangamitiguk,n,,kaangamitiguk gaangamitiguk,n,,raangamitiguk,fus,,,?
jaraangaatiguk,tv,freq,sp,4,p,1,d,,n,,taraangaatiguk saraangaatiguk,n,,kaangaatiguk gaangaatiguk,n,,raangaatiguk,fus,,,?
jaraangassik,tv,freq,sp,1,p,2,d,jaraangattik,n,,taraangassik saraangassik taraangattik saraangattik,n,,kaangassik gaangassik kaangattik gaangattik,n,,raangassik raangattik,fus,,,?
jaraangamitik,tv,freq,sp,3,p,2,d,,n,,taraangamitik saraangamitik,n,,kaangamitik gaangamitik,n,,raangamitik,fus,,,?
jaraangaatik,tv,freq,sp,4,p,2,d,,n,,taraangaatik saraangaatik,n,,kaangaatik gaangaatik,n,,raangaatik,fus,,,?
jaraangattigik,tv,freq,sp,1,p,3,d,jaraangaptigik,n,,taraangattigik saraangattigik taraangaptigik saraangaptigik,n,,kaangattigik gaangattigik kaangaptigik gaangaptigik,n,,raangattigik raangaptigik,fus,,,?
jaraangassigik,tv,freq,sp,2,p,3,d,jaraangapsigik jaraangatsigik,n,,taraangassigik saraangassigik taraangapsigik saraangapsigik taraangatsigik saraangatsigik,n,,kaangassigik gaangassigik kaangapsigik gaangapsigik taraangatsigik gaangatsigik,n,,raangassigik raangapsigik raangatsigik,fus,,,?
jaraangamigik,tv,freq,sp,3,p,3,d,,n,,taraangamigik saraangamigik,n,,kaangamigik gaangamigik,n,,raangamigik,fus,,,?
jaraangagik,tv,freq,sp,4,p,3,d,,n,,taraangagik saraangagik,n,,kaangagik gaangagik,n,,raangagik,fus,,,?
jaraangattigut,tv,freq,sp,2,p,1,p,jaraangaptigut,n,,taraangattigut saraangattigut taraangaptigut saraangaptigut,n,,kaangattigut gaangattigut kaangaptigut gaangaptigut,n,,raangattigut raangaptigut,fus,,,?
jaraangamitigut,tv,freq,sp,3,p,1,p,,n,,taraangamitigut saraangamitigut,n,,kaangamitigut gaangamitigut,n,,raangamitigut,fus,,,?
jaraangaatigut,tv,freq,sp,4,p,1,p,,n,,taraangaatigut saraangaatigut,n,,kaangaatigut gaangaatigut,n,,raangaatigut,fus,,,?
jaraangassi,tv,freq,sp,1,p,2,p,jaraangapsi jaraangatsi,n,,taraangassi saraangassi taraangapsi saraangapsi taraangatsi saraangatsi,n,,kaangassi gaangassi kaangapsi gaangapsi kaangatsi gaangatsi,n,,raangassi raangapsi raangatsi,fus,,,?
jaraangamisi,tv,freq,sp,3,p,2,p,,n,,taraangamisi saraangamisi,n,,kaangamisi gaangamisi,n,,raangamisi,fus,,,?
jaraangaasi,tv,freq,sp,4,p,2,p,,n,,taraangaasi saraangaasi,n,,kaangaasi gaangaasi,n,,raangaasi,fus,,,?
jaraangattigit,tv,freq,sp,1,p,3,p,jaraangaptigit,n,,taraangattigit saraangattigit taraangaptigit saraangaptigit,n,,kaangattigit gaangattigit kaangaptigit gaangaptigit,n,,raangattigit raangaptigit,fus,,,?
jaraangassigit,tv,freq,sp,2,p,3,p,jaraangapsigit,n,,taraangassigit saraangassigit taraangapsigit saraangapsigit,n,,kaangassigit gaangassigit kaangapsigit gaangapsigit,n,,raangassigit raangapsigit,fus,,,?
jaraangamigit,tv,freq,sp,3,p,3,p,,n,,taraangamigit saraangamigit,n,,kaangamigit gaangamigit,n,,raangamigit,fus,,,?
jaraangagit,tv,freq,sp,4,p,3,p,,n,,taraangagit saraangagit,n,,kaangagit gaangagit,n,,raangagit,fus,,,?
mangaarma,tv,dub,nsp,1,s,,,,i(ng),,,a,,,nas,,,nas,,,?
mangaaqpit,tv,dub,nsp,2,s,,,,i(ng),,,a,,,nas,,,nas,,,?
mangaarmi,tv,dub,nsp,3,s,,,,i(ng),,,a,,,nas,,,nas,,,?
mangaat,tv,dub,nsp,4,s,,,mangaaq,i(ng),,* mangaaq,a,,* mangaaq,nas,,* mangaaq,nas,,,?
mangaannuk,tv,dub,nsp,1,d,,,,i(ng),,,a,,,nas,,,nas,,,?
mangaassik,tv,dub,nsp,2,d,,,,i(ng),,,a,,,nas,,,nas,,,?
mangaarmik,tv,dub,nsp,3,d,,,,i(ng),,,a,,,nas,,,nas,,,?
mangaatik,tv,dub,nsp,4,d,,,,i(ng),,,a,,,nas,,,nas,,,?
mangaatta,tv,dub,nsp,1,p,,,,i(ng),,,a,,,nas,,,nas,,,?
mangaassi,tv,dub,nsp,2,p,,,,i(ng),,,a,,,nas,,,nas,,,?
mangaarmik,tv,dub,nsp,3,p,,,,i(ng),,,a,,,nas,,,nas,,,?
mangaata,tv,dub,nsp,4,p,,,,i(ng),,,a,,,nas,,,nas,,,?
mangaaqpinga,tv,dub,sp,2,s,1,s,mangaarma,i(ng),,* mangaarma,a,,* mangaarma,nas,,* mangaarma,nas,,,?
mangaarminga,tv,dub,sp,3,s,1,s,,i(ng),,,a,,,nas,,,nas,,,?
mangaanga,tv,dub,sp,4,s,1,s,,i(ng),,,a,,,nas,,,nas,,,?
mangaakkit,tv,dub,sp,1,s,2,s,,i(ng),,,a,,,nas,,,nas,,,?
mangaarmitit,tv,dub,sp,3,s,2,s,,i(ng),,,a,,,nas,,,nas,,,?
mangaatit,tv,dub,sp,4,s,2,s,,i(ng),,,a,,,nas,,,nas,,,?
mangaakku,tv,dub,sp,1,s,3,s,,i(ng),,,a,,,nas,,,nas,,,?
mangaaqpiuk,tv,dub,sp,2,s,3,s,mangaarni,i(ng),,* mangaarni,a,,* mangaarni,nas,,* mangaarni,nas,,,?
mangaarmiuk,tv,dub,sp,3,s,3,s,,i(ng),,,a,,,nas,,,nas,,,?
mangaagu,tv,dub,sp,4,s,3,s,,i(ng),,,a,,,nas,,,nas,,,?
mangaattiguk,tv,dub,sp,2,s,1,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaarmitiguk,tv,dub,sp,3,s,1,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaatiguk,tv,dub,sp,4,s,1,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaassik,tv,dub,sp,1,s,2,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaarmitik,tv,dub,sp,3,s,2,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaatik,tv,dub,sp,4,s,2,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaakkik,tv,dub,sp,1,s,3,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaaqpigik,tv,dub,sp,2,s,3,d,mangaarni,i(ng),,* mangaarni,a,,* mangaarni,nas,,* mangaarni,nas,,,?
mangaarmigik,tv,dub,sp,3,s,3,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaagik,tv,dub,sp,4,s,3,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaattigut,tv,dub,sp,2,s,1,p,,i(ng),,,a,,,nas,,,nas,,,?
mangaarmitigut,tv,dub,sp,3,s,1,p,,i(ng),,,a,,,nas,,,nas,,,?
mangaatigut,tv,dub,sp,4,s,1,p,,i(ng),,,a,,,nas,,,nas,,,?
mangaassi,tv,dub,sp,1,s,2,p,,i(ng),,,a,,,nas,,,nas,,,?
mangaarmisi,tv,dub,sp,3,s,2,p,,i(ng),,,a,,,nas,,,nas,,,?
mangaasi,tv,dub,sp,4,s,2,p,,i(ng),,,a,,,nas,,,nas,,,?
mangaakkit,tv,dub,sp,1,s,3,p,,i(ng),,,a,,,nas,,,nas,,,?
mangaaqpigit,tv,dub,sp,2,s,3,p,mangaarni,i(ng),,* mangaarni,a,,* mangaarni,nas,,* mangaarni,nas,,,?
mangaarmigit,tv,dub,sp,3,s,3,p,,i(ng),,,a,,,nas,,,nas,,,?
mangaagit,tv,dub,sp,4,s,3,p,,i(ng),,,a,,,nas,,,nas,,,?
mangaattinga,tv,dub,sp,2,d,1,s,,i(ng),,,a,,,nas,,,nas,,,?
mangaarminga,tv,dub,sp,3,d,1,s,,i(ng),,,a,,,nas,,,nas,,,?
mangaanga,tv,dub,sp,4,d,1,s,,i(ng),,,a,,,nas,,,nas,,,?
mangaattigit,tv,dub,sp,1,d,2,s,,i(ng),,,a,,,nas,,,nas,,,?
mangaarmitit,tv,dub,sp,3,d,2,s,,i(ng),,,a,,,nas,,,nas,,,?
mangaatit,tv,dub,sp,4,d,2,s,,i(ng),,,a,,,nas,,,nas,,,?
mangaattigu,tv,dub,sp,1,d,3,s,,i(ng),,,a,,,nas,,,nas,,,?
mangaattiku,tv,dub,sp,2,d,3,s,,i(ng),,,a,,,nas,,,nas,,,?
mangaarmikku,tv,dub,sp,3,d,3,s,,i(ng),,,a,,,nas,,,nas,,,?
mangaakku,tv,dub,sp,4,d,3,s,,i(ng),,,a,,,nas,,,nas,,,?
mangaattiguk,tv,dub,sp,2,d,1,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaarmitiguk,tv,dub,sp,3,d,1,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaatiguk,tv,dub,sp,4,d,1,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaassik,tv,dub,sp,1,d,2,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaarmitik,tv,dub,sp,3,d,2,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaatik,tv,dub,sp,4,d,2,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaattigik,tv,dub,sp,1,d,3,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaattikik,tv,dub,sp,2,d,3,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaarmikkik,tv,dub,sp,3,d,3,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaakkik,tv,dub,sp,4,d,3,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaattigut,tv,dub,sp,2,d,1,p,,i(ng),,,a,,,nas,,,nas,,,?
mangaarmitigut,tv,dub,sp,3,d,1,p,,i(ng),,,a,,,nas,,,nas,,,?
mangaatigut,tv,dub,sp,4,d,1,p,,i(ng),,,a,,,nas,,,nas,,,?
mangaassi,tv,dub,sp,1,d,2,p,,i(ng),,,a,,,nas,,,nas,,,?
mangaarmisi,tv,dub,sp,3,d,2,p,,i(ng),,,a,,,nas,,,nas,,,?
mangaasi,tv,dub,sp,4,d,2,p,,i(ng),,,a,,,nas,,,nas,,,?
