morpheme,variant,nb,type,nature,number,compositionRoot,freMean,engMean,combination,root,END
salliit,,1,n,place,p,salliq,Coral Harbour,Coral Harbour,,,.
salliq,,1,n,place,,,Coral Harbour,Coral Harbour,,,.
salluit,,1,n,place,p,salluq,Salluit,Salluit,,salluq,.
sanikiluaq,,1,n,place,,,Sanikiluaq,Sanikiluaq,,,.
sanirajak,,1,n,place,,,Hall Beach,Hall Beach,,,.
sanirajaq,,1,n,place,,,"Hall Lake (Station principale Foxe, au sud d'Igloolik)",Hall Lake (Foxe Main Stn.; south of Igloolik),,sani,.
saniraq,,1,n,place,,,Roe's Welcome Sound (dans la région de Repulse Bay),Roe's Welcome Sound (Repulse Bay area),,sani,.
sanirut,,1,n,place,,,l'île Bylot (face à Pond Inlet),Bylot Is. (opp. Pond Inlet settlement),,sani,.
sarvartuq,,1,n,place,,,rivière Kazan dans le Padlirmiut,Kazan River in Padlirmiut country,,sarvaq,.
saskaatsuaan,saskaatsuan saskatsivuan saaskaatsuaan,1,n,place,,,Saskatchewan,Saskatchewan,,,.
siiaatul,,1,n,place,,,Seattle,Seattle,,,.
sikaatlan,sikaatlin,1,n,place,,,Écosse,Scotland,,,.
sikusa,sikuusa skuusa,1,n,place,,,Scotia,Scotia,,,.
simas,simi simis simit,1,n,place,,,"Smith, Smiths","Smith, Smiths",,,.
simialuk,,1,n,place,,,île à l'embouchure de la rivière Naujaat,island in mouth of Naujaat River,,simik,.
sipaini,,1,n,place,,,Espagne,Spain,,,.
siqiniq,,1,n,place,,,Baie James,James Bay,,,.
sivuitsilan,suitsilan,1,n,place,,,Suisse,Switzerland,,,.
suasilaan,siuasi,1,n,place,,,Swaziland,Swaziland,,,.
subluit,,1,n,place,p,sublu,Frozen Straits ou Hurd Channel (au sud-est de Repulse Bay),Frozen Straits or Hurd Channel (SE of Repulse Bay),,sublu,.
taalas,talas,1,n,place,,,Dallas,Dallas,,,.
taamsan,tamsan,1,n,place,,,Thompson,Thompson,,,.
tajarniq,,1,n,place,,,Beach Point ou Beechy Point (dans la région de Repulse Bay),Beach Point or Beechy Point (Repulse Bay area),,,.
talanai,tilinai tilini,1,n,place,,,Deline,Deline,,,.
tallurutit,,1,n,place,p,tallurut,l'île Devon,Devon Island,,tallu,.
taluk,,1,n,place,,,Hoppner Inlet (au sud de Lyon's Inlet),Hoppner Inlet (South of Lyon's Inlet),,talu,.
taluqjuaq,,1,n,place,,,Taloyoak,Taloyoak,,talu,.
tasiujaq,,1,n,place,,,Wager Bay,Wager Bay,,tasiq,.
tasiujaq,,2,n,place,,,Richmond Gulf,Richmond Gulf,,tasiq,.
