morpheme,variant,nb,type,transitivity,nature,number,compositionRoot,plural,intransSuffix,transSuffix,antipassive,engMean,freMean,source,dialect,cf,END
uniuq,,1,v,t,,,,,,,si/1vv,[-R]to /miss s.t. after it has been aimed at,[T]rater qqch. après l'avoir visé[P]être raté après avoir été visé,,,,.
uniut,,1,n,,,,,,,,,skin used as a substitute sled,peau utilisée comme traîneau de remplacement,,,,.
unnguq,,1,n,,,,,,,,,wart,verrue,,,,.
unniit,,1,e,,,,,,,,,expression of acceptance of a non ideal solution,expression signifiant l'acceptation d'une solution considérée non idéale,,,,.
unniq,,1,v,i,,,,,,nil,,to tell someone an indisputable fact,dire à qqn un fait indiscutable,,,,.
unnuk,,1,v,i,,,,,,,,"to be, to have become evening","être, être devenu le soir",,,,.
unnuk,,1,n,,,,,,,,,evening,,,,,
unuq,,1,v,i,a,,,,,,,to be numerous or many,"être nombreux, plusieurs",,,,.
upak,,1,v,i,,,,,,nil,,to approach (trans.: something),s'approcher (trans.: de qqch.),,,,.
upalungiq,,1,v,i,a,,,,,,,to be determined to do something,être déterminé à faire qqch.,,,,.
upaluq,,1,v,i,,,,,,,,(1) to jump into action (2) to act hastily without thinking,(1) sauter dans l'action (2) agir avec hâte sans réfléchir,,,,.
upik,,1,v,i,e,,,,gusuk/1vv,gi/4vv,,to be amazed or astonished at something,être étonné ou surpris par qqch.,,,,.
upirngaaq,,1,n,,,,,,,,,arctic spring,printemps arctique,,,,.
upsik,,1,v,i,a,,,,,,,to be densely textured or woven,,,,,
upsiri,,1,v,i,,,,,,nil,,to chink or caulk (trans.: something),,,,,
uqaq,,1,v,i,,,,,,nil,,to speak,,,,,
uqaq,,1,n,,ana,,,,,,,(1) tongue (2) bait pan of animal trap,(1) langue (2) languette où l'on met l'appât dans une trappe d'animal,,,,.
uqit,,1,v,i,a,,,,,,,to be light in weight,être léger,,,,.
uqquu,,1,n,,,,,,,,,(1) heat,,,,,
uqsuq,,1,n,,,,,,,,,fat,,,,,
uquk,,1,n,,,,,,,,,(1) rust of metal (2) mould of food,,,,,
uqumait,,1,v,i,a,,,,,,,to be heavy in weight,être lourd,,,,.
uqummiq,,1,v,t,,,,,,,i/1vv,[-R]to /hold s.t. in the mouth,[-R]/tenir qqch. dans la bouche,,,,.
uriaq,,1,v,i,,,,,,nil,,to spit (trans.: something out),cracher (trans.: qqch.),,,,.
uriaq,,1,n,,,,,,,,,spit,crachat,,,,.
uriiq,,1,e,,,,,,,,,exclamation: call to the sled dogs to follow a sledge track,exclamation: appel aux chiens de traîneau pour qu'ils suivent les traces de traîneaux,,,,.
urjuq,,1,n,,bot,,,,,,,spaghnum moss,mousse de sphaigne,,,,.
urliq,,1,v,t,,,,,,,si/1vv i/1vv,[T]to raise one's spear to spear s.t. or thrust at s.t. [P]to be aimed at,[T]lever son harpon pour percer ou transpercer qqch.[P]être visé par un harpon,,,,.
urnik,,1,v,i,,,,,,nil,,to approach (trans.: something),s'approcher (trans.: de qqch.),,,,.
urpik,,1,n,,bot,,,,,,,arctic willow,saule arctique,,,,.
urru,,1,v,i,,,,,,,,"to fall over, to topple","tomber, trébucher",,,,.
urrulu,,1,v,i,,,,,,gi/4vv,,to hate (trans.: someone),haïr (trans.: qqn),,,,.
urruraq,,1,v,i,,,,,,,,to bend in from being too thin or sharp - said of the edge of a blade,plier parce que trop mince ou trop aiguisée (le bord de la lame d'une couteau),,,,.
ursiq,,1,v,t,,,,,,,si/1vv,[-R](1) to /oil or /grease s.t.  (2) to /puncture s.t.,"[-R](1) /huiler ou /graisser qqch. (2) /crever, /percer, /trouer, /piquer qqch.",,,,.
ursiq,,1,n,,,,,,,,,dog-trace ring [WCHB],anneau [côte ouest de la Baie d'Hudson],,,,.
uruniq,,1,n,,,,,,,,,(1) intestine of arctic grouse (2) liquidy soft excretion of arctic grouse,(1) intestin de la grouse arctique (2) excrétion liquide de la grouse arctique,,,,.
usi,,1,v,i,,,,,,,,to have a load or cargo aboard,avoir une charge à son bord,,,,.
usi,,1,n,,,,,,,,,cargo,,,,,
usiit,,1,e,,,,,,,,,expression of sudden remembrance,expression signifiant qu'on vient soudainement de se souvenir de qqch.,,,,.
usiq,,1,v,i,a,,,,,,,to have one's clothes removed,,,,,
usiraq,,1,v,i,,,,,,,,to spill over the top of the container - said of a liquid,se renverser par-dessus le couvercle du contenant (un liquide),,,,.
usuk,,1,n,,ana,,,,,,,(1) male sex organ (2) small catch of animal trap preventing the closing of its jaws,(1) organe sexuel mâle (2) petit loquet d'un piège empêchant les mâchoires de se refermer,,,,.
utajuraq,,1,n,,zoo,,,,,,,medium-sized species of jar seal,espèce de taille moyenne de phoque annelé,,,,.
utaqqi,,1,v,i,,,,,,nil,,to wait (trans.: for someone or something),attendre (trans.: après qqch. ou qqn),,,,.
uti,,1,v,i,,,,,,,,to shed one's hair or skin - said of an animal,perdre ses poils ou sa peau (un animal),,,,.
utiq,,1,v,i,,,,,,nil,,to return,,,,,
uttuuk,,1,n,,ana,d,,,,,,female sex organ,organe sexuel femelle,,,,.
